date,observation,trend,seasonal45,seasonal127,remainder,is_projected
2010-01-01,258,183.377864501448,-29.5079740857087,71.4840725508148,32.646037033446,False
2010-01-08,638,183.358385829281,28.3402469791713,191.195966941856,235.105400249691,False
2010-01-15,639,183.338907157114,45.8837946669774,189.563563980856,220.213734195053,False
2010-01-22,670,183.319428484947,57.7816895016962,193.832321639202,235.066560374155,False
2010-01-29,572,183.29994981278,40.0195863389164,172.965976198514,175.714487649789,False
2010-02-05,570,183.280471140614,61.8880279396271,177.654053725124,147.177447194635,False
2010-02-12,339,183.260992468447,40.6771020272055,72.3124531133475,42.7494523910005,False
2010-02-19,298,183.24151379628,-20.0892610493202,109.416157314908,25.4315899381329,False
2010-02-26,342,183.222035124113,41.7754327140986,63.2556401089233,53.746892052865,False
2010-03-05,195,183.202556451946,78.4622742734294,-17.7811028687711,-48.8837278566043,False
2010-03-12,144,183.183077779779,68.1655407385497,-42.2631130740707,-65.085505444258,False
2010-03-19,190,183.163599107612,37.7658212077815,-43.137351754898,12.2079314395044,False
2010-03-26,129,183.144120435445,-7.77035288326856,-30.4769435312623,-15.8968240209144,False
2010-04-02,144,183.124641763278,-0.532249565435586,-57.4934783625535,18.9010861647109,False
2010-04-09,193,183.105163091111,7.66472371453745,-40.2099212248818,42.4400344192327,False
2010-04-16,194,183.085684418945,-31.6885096668912,26.7045238520735,15.8983013958732,False
2010-04-23,153,183.066205746778,-1.90828431593566,-53.1449670211583,24.9870455903162,False
2010-04-30,119,183.046727074611,7.72233400362924,-106.479750330749,34.7106892525089,False
2010-05-07,311,183.027248402444,73.797502443339,-72.533300889558,126.708550043775,False
2010-05-14,102,183.007769730277,1.95948158148228,-94.0329086817026,11.0656573699434,False
2010-05-22,85,182.98829105811,-13.7917004711616,-83.2959785674755,-0.900612019472931,False
2010-05-29,87,182.950626214572,-8.73600385945312,-89.2908647090082,2.07624235388931,False
2010-06-05,113,182.912961371034,19.2776632989056,-44.8982418709187,-44.2923827990207,False
2010-06-12,62,182.875296527496,26.4787642807858,-64.8662156647798,-82.4878451435017,False
2010-06-19,42,182.837631683958,41.7597534301345,-40.7823240045854,-141.815061109507,False
2010-06-26,85,182.799966840419,50.9840174046603,-55.9037043229563,-92.8802799221233,False
2010-07-03,69,182.762301996881,86.7196025247954,-69.3491832928478,-131.132721228829,False
2010-07-10,84,182.724637153343,23.2375350336253,-8.53776635952477,-113.424405827444,False
2010-07-17,93,182.686972309805,-25.2044172155416,22.2768174031283,-86.7593724973918,False
2010-07-24,90,182.649307466267,-14.1723306225144,37.739669590348,-116.216646434101,False
2010-07-31,84,182.611642622729,0.313208492456464,52.0790907395856,-151.003941854771,False
2010-08-07,51,182.573977779191,-20.4877369192765,71.9682643724146,-183.054505232329,False
2010-08-14,34,182.536312935653,-53.2718355005325,116.780706795915,-212.045184231035,False
2010-08-21,38,182.498648092114,-60.1831386507734,89.3709947291779,-173.686504170519,False
2010-08-28,38,182.460983248576,0.985737586671122,34.8355215761799,-180.282242411427,False
2010-09-04,85,182.423318405038,-2.43418599636597,22.5399289480349,-117.529061356707,False
2010-09-11,51,182.3856535615,-67.8921768291016,-2.78529254990045,-60.708184182498,False
2010-09-18,51,182.347988717962,-58.7158526710006,18.5844085044424,-91.2165445514038,False
2010-09-25,37,182.310323874424,-45.5163355268848,-33.5240958519161,-66.269892495623,False
2010-10-02,38,182.272659030886,-68.6927682605232,-22.8075999551255,-52.7722908152371,False
2010-10-10,52,182.234994187348,-63.9438767415008,-19.4317905195493,-46.8593269262975,False
2010-10-17,49,182.153839685925,-64.0024732733855,-6.04353900352873,-63.1078274090109,False
2010-10-24,59,182.072685184503,-54.435062936004,-37.0611233389623,-31.5764989095362,False
2010-10-31,99,181.99153068308,-50.1104506884401,-20.0622908070051,-12.8187891876348,False
2010-11-07,93,181.910376181657,-78.5728585566165,12.8648657042064,-23.2023833292472,False
2010-11-14,214,181.829221680235,-29.5079740857087,38.2468068761744,23.4319455292995,False
2010-11-21,261,181.748067178812,28.3402469791713,20.8754206486167,30.0362651933998,False
2010-11-28,466,181.66691267739,45.8837946669774,89.1883956121094,149.260897043523,False
2010-12-05,522,181.585758175967,57.7816895016962,134.402531190771,148.230021131565,False
2010-12-12,511,181.504603674545,40.0195863389164,146.148230326163,143.327579660376,False
2010-12-19,484,181.423449173122,61.8880279396271,87.1150191020171,153.573503785234,False
2010-12-26,448,181.342294671699,40.6771020272055,83.7187963729625,142.261806928133,False
2011-01-02,409,181.261140170277,-20.0892610493202,116.449415159089,131.378705719954,False
2011-01-09,464,181.179985668854,41.7754327140986,111.915812523034,129.128769094013,False
2011-01-16,469,181.098831167432,78.4622742734294,78.741159029999,130.69773552914,False
2011-01-23,478,181.017676666009,68.1655407385497,84.1212383337279,144.695544261713,False
2011-01-30,429,180.936522164587,37.7658212077815,80.1090891654108,130.188567462221,False
2011-02-06,328,180.855367663164,-7.77035288326856,79.9649202485829,74.9500649715215,False
2011-02-13,237,180.774213161741,-0.532249565435586,35.1438083060713,21.6142280976229,False
2011-02-20,227,180.693058660319,7.66472371453745,22.1104615759822,16.5317560491615,False
2011-02-28,274,180.611904158896,-31.6885096668912,68.7080028192933,56.3686026887015,False
2011-03-07,200,180.50482197864,-1.90828431593566,21.8886002416495,-0.485137904353763,False
2011-03-14,195,180.397739798383,7.72233400362924,-34.0827614322858,40.9626876302731,False
2011-03-21,185,180.290657618127,73.797502443339,-58.4395570000578,-10.6486030614083,False
2011-03-28,180,180.183575437871,1.95948158148228,-0.575743201804534,-1.56731381754847,False
