date,observation,trend,seasonal60,seasonal125,remainder,is_projected
2016-01-01,69.65493885,70.0528271597275,-26.096288049767,25.9835195558146,-0.285119815775175,False
2016-01-08,114.0311757,70.0623463245751,-28.1295634413237,60.6528050012119,11.4455878155367,False
2016-01-15,122.9915379,70.0718654894226,-43.2198362663532,90.8181527401542,5.32135593677654,False
2016-01-22,158.9427867,70.0813846542701,-43.8764179063338,110.994518348734,21.7433016033303,False
2016-01-29,111.635487,70.0909038191176,-25.6840602983859,60.3644397994999,6.86420367976841,False
2016-02-05,110.2488327,70.1004229839651,-56.9172633998365,83.6878357623134,13.377837353558,False
2016-02-12,157.4397767,70.1099421488126,-68.6783553549692,121.417801056904,34.5903888492523,False
2016-02-19,210.4335395,70.1194613136601,-79.9408267652593,155.813485645344,64.4414193062553,False
2016-02-26,253.4240598,70.1289804785076,-81.0037368804022,172.2366756343,92.0621405675947,False
2016-03-04,331.3841184,70.1384996433552,-32.2484700666295,171.063857821409,122.430231001865,False
2016-03-11,316.4273836,70.1480188082027,-66.0003622162884,202.172919273887,110.106807734198,False
2016-03-18,185.423281,70.1575379730502,-112.704180168143,169.283668575953,58.6862546191395,False
2016-03-25,79.63859969,70.1670571378977,-156.414552584237,142.21543205943,23.6706630769092,False
2016-04-01,64.50596118,70.1765763027452,-172.936543724421,153.899811840619,13.3661167610569,False
2016-04-08,58.72772349,70.1860954675927,-155.900212138392,141.215503121204,3.22633703959576,False
2016-04-15,57.86006717,70.1956146324402,-163.505286495703,133.495221829499,17.6745172037645,False
2016-04-22,36.14481241,70.2051337972878,-181.262256197099,128.674290948546,18.5276438612655,False
2016-04-29,27.41790048,70.2146529621353,-181.598967257078,112.596446306566,26.2057684683773,False
2016-05-06,23.99693801,70.2241721269828,-210.111980128392,128.388869201869,35.4958768095404,False
2016-05-13,44.41308841,70.2336912918303,-198.791783534707,124.174768381113,48.7964122717628,False
2016-05-21,26.49081582,70.2488502189051,-175.611923453101,57.5286247768687,74.3252642773273,False
2016-05-28,21.5770019,70.26400914598,-163.516856118917,45.158118832941,69.6717300399954,False
2016-06-04,19.70585082,70.2791680730548,-152.073267894093,24.5835141345295,76.9164365065086,False
2016-06-11,26.20610794,70.2943270001296,-157.245852332502,38.8321547383498,74.3254785340222,False
2016-06-18,27.36138263,70.3094859272045,-133.068843543837,43.0619140314356,47.0588262151965,False
2016-06-25,28.37630209,70.3246448542793,-44.3834044810428,-5.06815579403418,7.50321751079775,False
2016-07-02,17.46521164,70.3398037813541,9.57776505853768,-53.4489219204417,-9.00343527945013,False
2016-07-09,23.87021697,70.354962708429,41.7308788964469,-74.2311060356813,-13.9845185991946,False
2016-07-16,28.53725966,70.3701216355038,41.2640051531249,-47.4257073801433,-35.6711597484855,False
2016-07-23,13.91642981,70.3852805625787,28.753488744198,-49.8175190408438,-35.4048204559329,False
2016-07-30,12.09246311,70.4004394896535,46.7775634682533,-72.8037945695079,-32.2817452783989,False
2016-08-06,16.46256576,70.4155984167283,66.8857046073976,-90.4928667307764,-30.3458705333495,False
2016-08-13,19.4285168,70.4307573438032,75.3259951058789,-77.2251117189037,-49.1031239307783,False
2016-08-20,23.87829182,70.445916270878,87.6608001755081,-64.8758802134376,-69.3525444129485,False
2016-08-27,14.38906198,70.4610751979528,56.1450860032193,-48.7433820451462,-63.473717176026,False
2016-09-03,13.16524911,70.4762341250277,88.1873233838755,-101.343446486295,-44.1548619126082,False
2016-09-10,29.10718997,70.4913930521025,102.425824464651,-107.84734944876,-35.9626780979939,False
2016-09-17,38.91080382,70.5065519791773,109.802407429762,-85.7805125908088,-55.6176429981305,False
2016-09-24,22.07062842,70.5217109062522,173.619315116538,-151.150835142355,-70.919562460435,False
2016-10-01,23.93525309,70.5148783414769,121.576720159581,-82.2830287609302,-85.873316650128,False
2016-10-09,45.7325523,70.5080457767016,92.0949338385603,-13.2830294227051,-103.587397892557,False
2016-10-16,58.02009804,70.5012132119262,108.147440890052,-8.05190730232779,-112.57664875965,False
2016-10-23,37.46168063,70.4943806471509,152.130562906376,-45.805674289161,-139.357588634366,False
2016-10-30,40.3005316,70.4875480823756,204.13391727003,-119.6577856633,-114.663148089106,False
2016-11-06,71.42647487,70.4807155176003,169.962966339356,-85.9111859323029,-83.1060210546538,False
2016-11-13,89.56974082,70.473882952825,135.881757999147,-42.6989975183866,-74.0869026135855,False
2016-11-20,97.19848688,70.4670503880497,136.521468452121,-57.6295788621286,-52.1604530980418,False
2016-11-27,122.7625412,70.4602178232743,174.216797604682,-112.586363296545,-9.328110931411,False
2016-12-04,113.7960556,70.453385258499,158.905684364525,-116.43925803688,0.876244013855796,False
2016-12-11,144.3718621,70.4465526937237,129.591004408424,-81.0691429129969,25.4034479108487,False
2016-12-18,133.779727,70.4397201289484,71.7841200759558,-29.7432597497675,21.2991465448634,False
2016-12-25,114.1287,70.4328875641731,73.536982875621,-32.67183548445,2.83066504465593,False
2017-01-01,109.447895,70.4260549993978,78.8254949037355,-52.5659503085884,12.7622954054552,False
2017-01-08,127.7344308,70.4192224346224,81.4812058064044,-43.6126270423395,19.4466296013127,False
2017-01-15,71.40224347,70.4123898698471,70.6525906665817,-64.4507384091333,-5.2119986572956,False
2017-01-22,42.76798444,70.4055573050718,19.2289322744342,-29.4467501422409,-17.4197549972651,False
2017-01-29,36.98517536,70.3987247402965,-1.84775162402359,-33.1497677762927,1.58397002001979,False
2017-02-05,46.75959459,70.3918921755212,-4.6627333120185,-23.3338385588396,4.36427428533698,False
