date,observation,trend,seasonal,remainder,is_projected
2010-01-01,6,-2.67806569026033,17.5611002198685,-8.88303452960816,False
2010-02-01,3,-1.28102271950767,8.13611705026171,-3.85509433075404,False
2010-03-01,4,0.116020251244984,3.91112133328984,-0.0271415845348249,False
2010-04-01,2,1.37118401807707,-4.16217107155155,4.79098705347447,False
2010-05-01,2,2.62634778490916,-5.23545589569204,4.60910811078288,False
2010-06-01,0,3.77452140734828,-5.39054485723475,1.61602344988647,False
2010-07-01,1,4.9226950297874,-1.14563421088111,-2.77706081890628,False
2010-08-01,10,5.96813887246913,-2.49921290317732,6.5310740307082,False
2010-09-01,18,7.01358271515086,-2.05278963494697,13.0392069197961,False
2010-10-01,2,7.35697454688078,-6.02765921374984,0.670684666869066,False
2010-11-01,3,7.7003663786107,-4.40253402062055,-0.297832357990149,False
2010-12-01,4,7.37378149324069,1.30765953716047,-4.68144103040116,False
2011-01-01,30,7.04719660787068,17.5611002198685,5.39170317226082,False
2011-02-01,14,6.44941810854928,8.13611705026171,-0.585535158810986,False
2011-03-01,4,5.85163960922787,3.91112133328984,-5.76276094251771,False
2011-04-01,1,5.36258607160649,-4.16217107155155,-0.200415000054941,False
2011-05-01,1,4.8735325339851,-5.23545589569204,1.36192336170694,False
2011-06-01,1,4.80335193044422,-5.39054485723475,1.58719292679052,False
2011-07-01,0,4.73317132690334,-1.14563421088111,-3.58753711602223,False
2011-08-01,1,5.25922613983384,-2.49921290317732,-1.76001323665652,False
2011-09-01,0,5.78528095276433,-2.05278963494697,-3.73249131781736,False
2011-10-01,0,6.50189587281569,-6.02765921374984,-0.474236659065849,False
2011-11-01,1,7.21851079286705,-4.40253402062055,-1.8159767722465,False
2011-12-01,11,7.76378471216368,1.30765953716047,1.92855575067584,False
2012-01-01,13,8.30905863146032,17.5611002198685,-12.8701588513288,False
2012-02-01,30,8.61244481873178,8.13611705026171,13.2514381310065,False
2012-03-01,30,8.91583100600325,3.91112133328984,17.1730476607069,False
2012-04-01,2,8.84722364650239,-4.16217107155155,-2.68505257495085,False
2012-05-01,0,8.77861628700153,-5.23545589569204,-3.54316039130949,False
2012-06-01,1,7.93973274344258,-5.39054485723475,-1.54918788620783,False
2012-07-01,13,7.10084919988362,-1.14563421088111,7.04478501099749,False
2012-08-01,2,5.8432558143132,-2.49921290317732,-1.34404291113587,False
2012-09-01,0,4.58566242874277,-2.05278963494697,-2.5328727937958,False
2012-10-01,0,3.72680223256933,-6.02765921374984,2.30085698118052,False
2012-11-01,1,2.86794203639588,-4.40253402062055,2.53459198422467,False
2012-12-01,0,2.54143530847891,1.30765953716047,-3.84909484563939,False
2013-01-01,5,2.21492858056195,17.5611002198685,-14.7760288004304,False
2013-02-01,6,2.0369664625013,8.13611705026171,-4.17308351276301,False
2013-03-01,9,1.85900434444065,3.91112133328984,3.22987432226951,False
2013-04-01,2,2.25784235733382,-4.16217107155155,3.90432871421773,False
2013-05-01,0,2.65668037022698,-5.23545589569204,2.57877552546506,False
2013-06-01,0,4.10882438054201,-5.39054485723475,1.28172047669274,False
2013-07-01,0,5.56096839085703,-1.14563421088111,-4.41533417997592,False
2013-08-01,0,6.90233351105232,-2.49921290317732,-4.403120607875,False
2013-09-01,1,8.24369863124762,-2.05278963494697,-5.19090899630065,False
2013-10-01,0,8.68345945191705,-6.02765921374984,-2.65580023816721,False
2013-11-01,2,9.12322027258648,-4.40253402062055,-2.72068625196594,False
2013-12-01,21,9.3897366741821,1.30765953716047,10.3026037886574,False
2014-01-01,60,9.65625307577771,17.5611002198685,32.7826467043538,False
2014-02-01,15,9.87554032749471,8.13611705026171,-3.01165737775642,False
2014-03-01,1,10.0948275792117,3.91112133328984,-13.0059489125016,False
2014-04-01,1,9.49536818761327,-4.16217107155155,-4.33319711606172,False
2014-05-01,0,8.89590879601483,-5.23545589569204,-3.66045290032278,False
2014-06-01,1,8.13786606285965,-5.39054485723475,-1.7473212056249,False
2014-07-01,11,7.37982332970447,-1.14563421088111,4.76581088117664,False
2014-08-01,6,6.61350849966,-2.49921290317732,1.88570440351732,False
2014-09-01,3,5.84719366961553,-2.05278963494697,-0.794404034668556,False
2014-10-01,0,5.10519627564021,-6.02765921374984,0.922462938109638,False
2014-11-01,3,4.36319888166488,-4.40253402062055,3.03933513895566,False
2014-12-01,2,3.63877967931549,1.30765953716047,-2.94643921647596,False
