date,trend,remainder,seasonal31,seasonal31.1,is_projected
2016-01-01,95.1743485012602,-4.1888067158023,-21.3306028848895,-21.3306028848895,False
2016-01-08,94.4498399204334,34.4893194654747,-14.9079836353397,-14.9079836353397,False
2016-01-15,93.7253313396068,40.1277471684963,-10.8615405575345,-10.8615405575345,False
2016-01-22,93.00082275878,64.3856675879069,1.55629640388135,1.55629640388135,False
2016-01-29,92.2763141779534,22.6202220228872,-3.26104915027229,-3.26104915027229,False
2016-02-05,91.5518055971266,26.4349932077071,-7.73796605426552,-7.73796605426552,False
2016-02-12,90.7655376096321,68.8053604004891,-2.13112125955298,-2.13112125955298,False
2016-02-19,89.9792696221376,105.877903647984,14.576366280447,14.576366280447,False
2016-02-26,89.1930016346431,143.406025934764,20.8250322811609,20.8250322811609,False
2016-03-04,88.4067336471486,189.262821754169,53.7145630492508,53.7145630492508,False
2016-03-11,87.6204656596541,174.094333179568,54.712584811346,54.712584811346,False
2016-03-18,86.5650611222823,66.0398120935013,32.8184078347848,32.8184078347848,False
2016-03-25,85.5096565849105,-35.6563990097014,29.7853421653591,29.7853421653591,False
2016-04-01,84.4542520475387,-36.4859966660256,16.5377058490554,16.5377058490554,False
2016-04-08,83.3988475101669,-31.3513942633581,6.6802702937595,6.6802702937595,False
2016-04-15,82.3434429727951,-25.087507772098,0.604132019871207,0.604132019871207,False
2016-04-22,79.8013995709469,-32.4161590431029,-11.2404280672756,-11.2404280672756,False
2016-04-29,77.2593561690987,-29.3521912297255,-20.4892644088048,-20.4892644088048,False
2016-05-06,74.7173127672505,-45.6168158416331,-5.10355886504907,-5.10355886504907,False
2016-05-13,72.1752693654023,-36.2867769289948,8.52459602416087,8.52459602416087,False
2016-05-21,69.6332259635541,-51.5194521036191,8.37704201063332,8.37704201063332,False
2016-05-28,64.7459840932095,-57.5957973998121,14.426815257171,14.426815257171,False
2016-06-04,59.8587422228649,-58.7077713739283,18.5548800216317,18.5548800216317,False
2016-06-11,54.9715003525203,-25.2806228615039,-3.48476950044813,-3.48476950044813,False
2016-06-18,50.0842584821758,-3.92448501923889,-18.7983907823685,-18.7983907823685,False
2016-06-25,45.1970166118312,8.43214084974891,-25.2528553210117,-25.2528553210117,False
2016-07-02,43.0893873823685,2.38747072807016,-28.0116464198702,-28.0116464198702,False
2016-07-09,40.9817581529058,9.24831020477215,-26.3598513371095,-26.3598513371095,False
2016-07-16,38.8741289234431,18.171249441445,-28.5081186543196,-28.5081186543196,False
2016-07-23,36.7664996939804,4.86424456156278,-27.7143143949747,-27.7143143949747,False
2016-07-30,34.6588704645178,3.9341672730973,-26.5005745770465,-26.5005745770465,False
2016-08-06,36.0451232028535,1.74804549260441,-21.3306028848895,-21.3306028848895,False
2016-08-13,37.4313759411892,-3.09487545528112,-14.9079836353397,-14.9079836353397,False
2016-08-20,38.8176286795249,-4.07779625142197,-10.8615405575345,-10.8615405575345,False
2016-08-27,40.2038814178607,-27.3711157911737,1.55629640388135,1.55629640388135,False
2016-09-03,41.5901341561964,-25.1638358453558,-3.26104915027229,-3.26104915027229,False
2016-09-10,43.8583630230547,-7.01320694822088,-7.73796605426552,-7.73796605426552,False
2016-09-17,46.126591889913,-5.08466675979172,-2.13112125955298,-2.13112125955298,False
2016-09-24,48.3948207567713,-40.9005585666499,14.576366280447,14.576366280447,False
2016-10-01,50.6630496236295,-47.5528287642221,20.8250322811609,20.8250322811609,False
2016-10-09,52.9312784904878,-60.9132891891703,53.7145630492508,53.7145630492508,False
2016-10-16,54.906680627681,-51.5991673484586,54.712584811346,54.712584811346,False
2016-10-23,56.8820827648742,-52.2388099190906,32.8184078347848,32.8184078347848,False
2016-10-30,58.8574849020674,-48.3422954168583,29.7853421653591,29.7853421653591,False
2016-11-06,60.8328870392605,-5.94411796774749,16.5377058490554,16.5377058490554,False
2016-11-13,62.8082891764537,20.0811814003551,6.6802702937595,6.6802702937595,False
2016-11-20,64.4905666770888,32.1037882336084,0.604132019871207,0.604132019871207,False
2016-11-27,66.1728441777238,67.8301251401201,-11.2404280672756,-11.2404280672756,False
2016-12-04,67.8551216783589,66.4301983810143,-20.4892644088048,-20.4892644088048,False
2016-12-11,69.5373991789939,79.9380218366235,-5.10355886504907,-5.10355886504907,False
2016-12-18,71.2196766796289,54.0354543467785,8.52459602416087,8.52459602416087,False
2016-12-25,71.8838283265126,33.8678297134224,8.37704201063332,8.37704201063332,False
2017-01-01,72.5479799733962,22.4730998200012,14.426815257171,14.426815257171,False
2017-01-08,73.2121316202798,35.9674192086567,18.5548800216317,18.5548800216317,False
2017-01-15,73.8762832671635,1.01072975385296,-3.48476950044813,-3.48476950044813,False
2017-01-22,74.5404349140471,-12.9740596411102,-18.7983907823685,-18.7983907823685,False
2017-01-29,73.1692248686189,-10.9311941370388,-25.2528553210117,-25.2528553210117,False
2017-02-05,71.7980148231908,2.97322623724799,-28.0116464198702,-28.0116464198702,False
2017-02-12,70.4268047777626,31.2955073399154,-26.3598513371095,-26.3598513371095,False
2017-02-19,69.0555947323344,44.8119725325538,-28.5081186543196,-28.5081186543196,False
2017-02-27,67.6843846869063,12.300518088637,-27.7143143949747,-27.7143143949747,False
2017-03-06,64.6585907105202,14.2550899970948,-26.5005745770465,-26.5005745770465,False
2017-03-13,61.6327967341342,32.3502404813236,-21.3306028848895,-21.3306028848895,False
2017-03-20,58.6070027577482,4.46213391815989,-14.9079836353397,-14.9079836353397,False
2017-03-27,55.5812087813622,-4.75314298325928,-10.8615405575345,-10.8615405575345,False
2017-04-03,52.5554148049762,-19.1128982282893,1.55629640388135,1.55629640388135,False
2017-04-10,49.6799340473155,5.81815301352504,-3.26104915027229,-3.26104915027229,False
2017-04-17,46.8044532896549,28.5019772251789,-7.73796605426552,-7.73796605426552,False
2017-04-24,43.9289725319942,-7.33388124187292,-2.13112125955298,-2.13112125955298,False
2017-05-01,41.0534917743335,-21.6063676642121,14.576366280447,14.576366280447,False
2017-05-08,38.1780110166728,-16.2971125772654,20.8250322811609,20.8250322811609,False
2017-05-15,36.6848078878389,-33.9774096565214,53.7145630492508,53.7145630492508,False
2017-05-22,35.191604759005,-55.9861985297826,54.712584811346,54.712584811346,False
2017-05-29,33.6984016301711,-38.8250553943876,32.8184078347848,32.8184078347848,False
2017-06-05,32.2051985013372,-34.6950608761281,29.7853421653591,29.7853421653591,False
2017-06-12,30.7119953725033,-14.1462360509904,16.5377058490554,16.5377058490554,False
2017-06-19,30.9123039366552,-5.17382151984641,6.6802702937595,6.6802702937595,False
2017-06-26,31.1126125008071,-23.10541705311,0.604132019871207,0.604132019871207,False
2017-07-03,31.3129210649591,-9.19053728711505,-11.2404280672756,-11.2404280672756,False
2017-07-10,31.513229629111,5.68193778026228,-20.4892644088048,-20.4892644088048,False
2017-07-18,31.7135381932629,-8.92872319764545,-5.10355886504907,-5.10355886504907,False
2017-07-25,34.6455648062921,-29.7865941498846,8.52459602416087,8.52459602416087,False
2017-08-01,37.5775914193213,-31.7332135493864,8.37704201063332,8.37704201063332,False
2017-08-08,40.5096180323506,-39.3709346589532,14.426815257171,14.426815257171,False
2017-08-15,43.4416446453798,-40.4184279164432,18.5548800216317,18.5548800216317,False
2017-08-22,46.373671258409,-23.2228378273926,-3.48476950044813,-3.48476950044813,False
2017-08-29,51.6262955116535,-10.9376800987166,-18.7983907823685,-18.7983907823685,False
2017-09-05,56.8789197648979,-9.13447681331775,-25.2528553210117,-25.2528553210117,False
2017-09-12,62.1315440181423,-3.77692695770362,-28.0116464198702,-28.0116464198702,False
2017-09-19,67.3841682713867,13.6889451762912,-26.3598513371095,-26.3598513371095,False
