cycle1,cycle2,nll,acf,avg_rank,norm_prod
10,24,45.56721929485492,-0.0266008437950824,14.0,0.24817971814707085
10,27,109.4620292199953,-4.316950853080357e-07,26.0,0.5659359877938238
10,25,49.766071827751034,-0.030578316524322868,15.0,0.2650607659305464
10,26,41.79360626755623,-0.00010466051011545288,17.5,0.2433347974014855
10,28,81.10630565795843,-1.075685846130971e-06,25.0,0.4307730761964703
11,24,46.20286621582791,-0.011044175887054792,16.0,0.2588604889660253
11,26,53.676522813661244,-0.5270780163650997,10.5,0.0
10,29,63.520723661320886,-1.1428662164241823e-08,25.0,0.34694920779150284
11,28,69.17471501029765,-0.09931039811822752,15.5,0.303450886044015
11,25,17.886116614153224,-0.3156739667050082,4.5,0.051910226001040706
11,29,24.296616995182795,-0.10138530626433569,8.0,0.12920783310943423
11,27,66.2789236792603,-0.310105181313347,13.5,0.14823458759205793
12,29,1.3348816596278024,-0.09742396505799485,4.5,0.041189790309795755
12,25,34.16672199571736,-0.0031699497015940945,15.5,0.20578314467957637
12,26,2.721636249944642,-0.08276734084485753,6.0,0.0481670848243752
12,24,119.23983825879938,-0.11671169333692771,16.0,0.4769075062444425
12,27,17.896131565334525,-0.010145310716876887,12.0,0.1269795511299864
13,24,46.266991312512836,-0.018615408250189532,15.5,0.2553573639542438
12,28,16.025518814771917,-0.047169112266778265,8.0,0.10976637046610627
13,25,33.425309797438956,-0.08415650140122216,10.5,0.17100305606089136
13,27,22.49390285112852,-2.476097316717716e-05,16.0,0.15138061511445722
13,26,175.86191435653416,-0.0001382044695024383,24.0,0.8822116864969399
13,28,-9.265709946333207,-3.877736035910993e-05,11.0,0.0
13,29,19.373396854535564,-1.3687499824070973e-06,16.0,0.13651293704217218
14,25,25.06178210758273,-0.0003938660159607769,15.0,0.16350569761949854
14,28,200.52416821117842,-4.085091499342925e-12,29.5,0.999999999992288
14,26,5.968785176433528,-3.056020137965968e-07,15.5,0.07261783277411452
14,27,5.956773668983229,-7.84974719443267e-09,16.0,0.07256061885492955
14,29,55.61997727198416,-2.017461508247275e-14,25.5,0.3092889313258515
14,24,60.76722198164283,-0.013189845245228772,18.0,0.3254703987185901
