cycle1,cycle2,cycle3,nll,acf,avg_rank,norm_prod
12,16,24,1617.2734921334923,2.2437292103964164e-08,5.0,2.757808961975151e-07
12,18,25,1167.6944200082908,1.390922497715822e-21,1.5,0.0
12,17,24,1170.9923244550846,0.0214881678522018,4.0,0.11849966972223198
12,17,25,807.8151906735147,0.08135912390353943,3.5,0.0
12,16,25,1267.7098035807358,8.703855853974313e-10,3.5,6.0781199662174765e-09
12,18,24,1436.9391345543681,1.853860942501923e-11,3.5,1.7709757904768789e-10
