date,observation,trend,seasonal14,seasonal25,remainder,is_projected
2005-01-01,63,41.3995914766678,4.14821351486549,45.8158209824314,-28.3636259739647,False
2005-02-01,51,41.4799582180365,1.11068433882132,24.3360827149229,-15.9267252717807,False
2005-03-01,41,41.5603249594052,29.6499042740611,-24.4314094029589,-5.77881983050737,False
2005-04-01,38,41.6406917007738,14.1270470665768,-24.1769187141021,6.4091799467514,False
2005-05-01,19,41.7210584421425,5.30700244389404,-36.3650229424311,8.33696205639448,False
2005-06-01,6,41.8174366817224,30.7944663393257,-65.8030618783699,-0.808841142678169,False
2005-07-01,4,41.9138149213022,-4.39677236674014,-36.1891845457122,2.67214199115008,False
2005-08-01,6,42.0101931608821,-11.2736935067258,-21.9149131383073,-2.82158651584896,False
2005-09-01,9,42.1065714004619,4.90100831517979,-26.9633606012941,-11.0442191143476,False
2005-10-01,17,42.2559188271336,-37.0690589024945,23.5992211288352,-11.7860810534742,False
2005-11-01,37,42.4052662538052,-31.6033945596877,52.4230948953258,-26.2249665894434,False
2005-12-01,68,42.5546136804769,-23.7039090284724,40.918671293919,8.23062405407656,False
2006-01-01,104,42.7039611071485,-5.18206045918437,67.5798638000001,-1.10176444796425,False
2006-02-01,125,43.0101164567271,23.1905622128727,46.5196923565747,12.2796289738255,False
2006-03-01,97,43.3162718063056,4.14821351486549,23.4500960039772,26.0854186748518,False
2006-04-01,24,43.6224271558841,1.11068433882132,-25.9330916279923,5.19998013328686,False
2006-05-01,13,43.9285825054627,29.6499042740611,-62.7232648744493,2.14477809492542,False
2006-06-01,1,44.2675839831264,14.1270470665768,-50.2866558773373,-7.10797517236586,False
2006-07-01,3,44.6065854607901,5.30700244389404,-41.2038629331268,-5.70972497155728,False
2006-08-01,7,44.9455869384538,30.7944663393257,-62.5631988048309,-6.17685447294861,False
2006-09-01,23,45.2845884161175,-4.39677236674014,-19.4629230520195,1.57510700264216,False
2006-10-01,33,45.3180859937554,-11.2736935067258,1.27624240321321,-2.32063489024284,False
2006-11-01,69,45.3515835713934,4.90100831517979,13.8358421170978,4.911565996329,False
2006-12-01,94,45.3850811490314,-37.0690589024945,79.3071776515211,6.37680010194207,False
2007-01-01,114,45.4185787266693,-31.6033945596877,78.9550603756124,21.2297554574061,False
2007-02-01,81,45.169072121937,-23.7039090284724,45.8158209824314,13.7190159241041,False
2007-03-01,75,44.9195655172047,-5.18206045918437,24.3360827149229,10.9264122270568,False
2007-04-01,31,44.6700589124724,23.1905622128727,-24.4314094029589,-12.4292117223863,False
2007-05-01,12,44.4205523077401,4.14821351486549,-24.1769187141021,-12.3918471085035,False
2007-06-01,3,44.1602686143007,1.11068433882132,-36.3650229424311,-5.90593001069092,False
2007-07-01,4,43.8999849208612,29.6499042740611,-65.8030618783699,-3.74682731655243,False
2007-08-01,13,43.6397012274218,14.1270470665768,-36.1891845457122,-8.57756374828649,False
2007-09-01,20,43.3794175339824,5.30700244389404,-21.9149131383073,-6.77150683956916,False
2007-10-01,57,43.1653551449743,30.7944663393257,-26.9633606012941,10.0035391169941,False
2007-11-01,63,42.9512927559662,-4.39677236674014,23.5992211288352,0.846258481938747,False
2007-12-01,110,42.7372303669581,-11.2736935067258,52.4230948953258,26.113368244442,False
2008-01-01,80,42.52316797795,4.90100831517979,40.918671293919,-8.3428475870488,False
2008-02-01,74,42.5163034756545,-37.0690589024945,67.5798638000001,0.972891626839903,False
2008-03-01,45,42.509438973359,-31.6033945596877,46.5196923565747,-12.4257367702459,False
2008-04-01,16,42.5025744710635,-23.7039090284724,23.4500960039772,-26.2487614465682,False
2008-05-01,6,42.4957099687679,-5.18206045918437,-25.9330916279923,-5.38055788159121,False
2008-06-01,1,42.8767163690328,23.1905622128727,-62.7232648744493,-2.34401370745634,False
2008-07-01,4,43.2577227692978,4.14821351486549,-50.2866558773373,6.88071959317408,False
2008-08-01,9,43.6387291695627,1.11068433882132,-41.2038629331268,5.45444942474286,False
2008-09-01,17,44.0197355698276,29.6499042740611,-62.5631988048309,5.89355896094216,False
2008-10-01,37,44.2152621622137,14.1270470665768,-19.4629230520195,-1.87938617677098,False
2008-11-01,53,44.4107887545998,5.30700244389404,1.27624240321321,2.00596639829293,False
2008-12-01,84,44.6063153469859,30.7944663393257,13.8358421170978,-5.23662380340942,False
2009-01-01,113,44.8018419393721,-4.39677236674014,79.3071776515211,-6.712247224153,False
2009-02-01,91,44.8951170214784,-11.2736935067258,78.9550603756124,-21.576483890365,False
2009-03-01,110,44.9883921035848,4.90100831517979,45.8158209824314,14.2947785988041,False
2009-04-01,37,45.0816671856911,-37.0690589024945,24.3360827149229,4.65130900188045,False
2009-05-01,7,45.1749422677974,-31.6033945596877,-24.4314094029589,17.8598616948491,False
2009-06-01,3,45.2448382595693,-23.7039090284724,-24.1769187141021,5.6359894830052,False
2009-07-01,1,45.3147342513412,-5.18206045918437,-36.3650229424311,-2.76765084972573,False
2009-08-01,7,45.384630243113,23.1905622128727,-65.8030618783699,4.22786942238408,False
2009-09-01,19,45.4545262348849,4.14821351486549,-36.1891845457122,5.58644479596177,False
2009-10-01,34,45.5200891963613,1.11068433882132,-21.9149131383073,9.28413960312466,False
2009-11-01,49,45.5856521578377,29.6499042740611,-26.9633606012941,0.727804169395363,False
2009-12-01,94,45.651215119314,14.1270470665768,23.5992211288352,10.6225166852739,False
