date,observation,trend,seasonal13,seasonal25,remainder,is_projected
2010-01-01,20,5.18309889693744,-4.69688029304306,25.3438585013051,-5.83007710519944,False
2010-02-01,15,5.2159680776891,2.88045891676767,9.72170753317718,-2.81813452763395,False
2010-03-01,4,5.24883725844077,5.57234339773474,-5.57125875403402,-1.24992190214147,False
2010-04-01,1,5.28170643919243,8.08585254703563,-11.18367151365,-1.18388747257803,False
2010-05-01,1,5.3145756199441,10.3945967152395,-13.6865751201743,-1.02259721500926,False
2010-06-01,1,5.35320289390578,11.8257693612355,-15.1042092598412,-1.0747629953001,False
2010-07-01,1,5.39183016786747,12.5855740392835,-15.9372752105096,-1.04012899664133,False
2010-08-01,1,5.43045744182915,8.90875632531941,-14.1070650374318,0.767851270283257,False
2010-09-01,1,5.46908471579083,-1.39011286538636,-4.68762832612015,1.60865647571567,False
2010-10-01,1,5.52392598706991,-6.97935421476385,7.17615104447994,-4.72072281678599,False
2010-11-01,1,5.57876725834898,-13.0579943745272,13.1690457537946,-4.68981863761638,False
2010-12-01,8,5.63360852962806,-19.9042247035104,28.6664170685907,-6.39580089470833,False
2011-01-01,18,5.68844980090713,-14.2247840802748,25.7245073467192,0.811826932648412,False
2011-02-01,15,5.79196774601389,-4.69688029304306,12.0704241043722,1.83448844265698,False
2011-03-01,15,5.89548569112064,2.88045891676767,3.4673915687376,2.75666382337408,False
2011-04-01,1,5.9990036362274,5.57234339773474,-9.71763131383928,-0.853715720122859,False
2011-05-01,1,6.10252158133416,8.08585254703563,-12.0027518187069,-1.1856223096629,False
2011-06-01,1,6.23062690000802,10.3945967152395,-15.1067913467979,-0.518432268449601,False
2011-07-01,1,6.35873221868187,11.8257693612355,-17.1696626231163,-0.0148389568010838,False
2011-08-01,1,6.48683753735573,12.5855740392835,-18.4580641545287,0.385652577889519,False
2011-09-01,1,6.61494285602958,8.90875632531941,-16.6442330426829,2.12053386133388,False
2011-10-01,8,6.62452679614092,-1.39011286538636,-5.74089102329886,8.5064770925443,False
2011-11-01,9,6.63411073625226,-6.97935421476385,8.11866281321725,1.22658066529435,False
2011-12-01,14,6.64369467636359,-13.0579943745272,18.3681021342621,2.04619756390144,False
2012-01-01,14,6.65327861647493,-19.9042247035104,23.291439721959,3.95950636507657,False
2012-02-01,20,6.62572870663606,-14.2247840802748,25.3438585013051,2.25519687233365,False
2012-03-01,15,6.59817879679719,-4.69688029304306,9.72170753317718,3.37699396306868,False
2012-04-01,2,6.57062888695833,2.88045891676767,-5.57125875403402,-1.87982904969199,False
2012-05-01,1,6.54307897711946,5.57234339773474,-11.18367151365,0.0682491387958333,False
2012-06-01,1,6.44778670613078,8.08585254703563,-13.6865751201743,0.152935867007923,False
2012-07-01,1,6.35249443514209,10.3945967152395,-15.1042092598412,-0.642881890540393,False
2012-08-01,1,6.25720216415341,11.8257693612355,-15.9372752105096,-1.14569631487932,False
2012-09-01,1,6.16190989316472,12.5855740392835,-14.1070650374318,-3.64041889501636,False
2012-10-01,2,6.0337794452276,8.90875632531941,-4.68762832612015,-8.25490744442686,False
2012-11-01,2,5.90564899729048,-1.39011286538636,7.17615104447994,-9.69168717638406,False
2012-12-01,17,5.77751854935336,-6.97935421476385,13.1690457537946,5.03278991161595,False
2013-01-01,28,5.64938810141624,-13.0579943745272,28.6664170685907,6.7421892045202,False
2013-02-01,11,5.64990194727456,-19.9042247035104,25.7245073467192,-0.470184590483369,False
2013-03-01,2,5.65041579313289,-14.2247840802748,12.0704241043722,-1.49605581723029,False
2013-04-01,2,5.65092963899121,-4.69688029304306,3.4673915687376,-2.42144091468575,False
2013-05-01,0,5.65144348484954,2.88045891676767,-9.71763131383928,1.18572891222208,False
2013-06-01,1,5.92576191884049,5.57234339773474,-12.0027518187069,1.50464650213166,False
2013-07-01,0,6.20008035283145,8.08585254703563,-15.1067913467979,0.820858446930822,False
2013-08-01,0,6.47439878682241,10.3945967152395,-17.1696626231163,0.300667121054392,False
2013-09-01,0,6.74871722081336,11.8257693612355,-18.4580641545287,-0.11642242752017,False
2013-10-01,1,6.92002993564035,12.5855740392835,-16.6442330426829,-1.86137093224094,False
2013-11-01,2,7.09134265046733,8.90875632531941,-5.74089102329886,-8.25920795248787,False
2013-12-01,13,7.26265536529431,-1.39011286538636,8.11866281321725,-0.991205313125205,False
2014-01-01,17,7.4339680801213,-6.97935421476385,18.3681021342621,-1.82271599961957,False
2014-02-01,14,7.51307204825634,-13.0579943745272,23.291439721959,-3.74651739568815,False
2014-03-01,17,7.59217601639139,-19.9042247035104,25.3438585013051,3.96819018581399,False
2014-04-01,3,7.67127998452644,-14.2247840802748,9.72170753317718,-0.168203437428829,False
2014-05-01,1,7.75038395266148,-4.69688029304306,-5.57125875403402,3.51775509441561,False
2014-06-01,1,7.80164708083416,2.88045891676767,-11.18367151365,1.5015655160482,False
2014-07-01,1,7.85291020900683,5.57234339773474,-13.6865751201743,1.26132151343275,False
2014-08-01,3,7.90417333717951,8.08585254703563,-15.1042092598412,2.11418337562605,False
2014-09-01,5,7.95543646535219,10.3945967152395,-15.9372752105096,2.5872420299179,False
2014-10-01,9,8.00195493439998,11.8257693612355,-14.1070650374318,3.27934074179633,False
2014-11-01,23,8.04847340344778,12.5855740392835,-4.68762832612015,7.05358088338893,False
2014-12-01,39,8.09499187249557,8.90875632531941,7.17615104447994,14.8201007577051,False
