date,trend,remainder,seasonal16,seasonal25,is_projected
2014-01-01,37.993241220754,18.5457729428426,-5.88125331306753,16.342239149471,False
2014-02-01,37.7341082636517,62.0118782867253,-0.646176371988594,-38.0998101783884,False
2014-03-01,37.4749753065494,70.7657121256673,12.4122889063957,-49.6529763386124,False
2014-04-01,37.2158423494471,56.0852371233188,6.09260218773424,-63.3936816605001,False
2014-05-01,36.9567093923448,66.493584470229,-48.9884840338103,-43.4618098287635,False
2014-06-01,36.6766065878201,76.53176305759,-48.7058932048515,-62.5024764405586,False
2014-07-01,36.3965037832955,52.0579623795953,-51.7056997548722,-32.7487664080187,False
2014-08-01,36.1164009787709,-46.3918420607268,49.9236091808729,-32.648168098917,False
2014-09-01,35.8362981742463,-76.889771253922,28.170082031778,25.8833910478977,False
2014-10-01,35.2421903853261,-106.05481534425,-45.4578885879522,139.270513546876,False
2014-11-01,34.6480825964058,-73.6387327011888,18.3650988148311,84.6255512899518,False
2014-12-01,34.0539748074856,-36.7736334267804,27.9031217668019,82.8165368524929,False
2015-01-01,33.4598670185654,-13.307056434836,33.6800474066325,32.1671420096382,False
2015-02-01,32.0153928591982,-7.16486307514079,28.0881534793123,-8.93868326336978,False
2015-03-01,30.5709186998311,21.017329354025,22.6993529829403,-43.2876010367964,False
2015-04-01,29.1264445404639,46.8482013677616,-25.9489673628921,-33.0256785453335,False
2015-05-01,27.6819703810968,34.6624741533368,-5.88125331306753,-49.4631912213661,False
2015-06-01,26.344989943392,64.3532229870477,-0.646176371988594,-81.0520365584512,False
2015-07-01,25.0080095056873,27.6717687218812,12.4122889063957,-61.0920671339642,False
2015-08-01,23.6710290679825,4.2525855003351,6.09260218773424,-30.0162167560519,False
2015-09-01,22.3340486302778,-37.3188852053291,-48.9884840338103,65.9733206088616,False
2015-10-01,22.5479124206281,-51.9257149398647,-48.7058932048515,92.0836957240882,False
2015-11-01,22.7617762109784,-42.6866344537429,-51.7056997548722,109.630557997637,False
2015-12-01,22.9756400013287,17.4439126198398,49.9236091808729,8.65683819795856,False
2016-01-01,23.1895037916791,-22.2929638624992,28.170082031778,-28.0666219609579,False
2016-02-01,23.2080545426702,9.90759489581106,-45.4578885879522,16.342239149471,False
2016-03-01,23.2266052936613,-1.49189393010406,18.3650988148311,-38.0998101783884,False
2016-04-01,23.2451560446524,-0.495301472841852,27.9031217668019,-49.6529763386124,False
2016-05-01,23.2637067956435,10.4499274582241,33.6800474066325,-63.3936816605001,False
2016-06-01,24.2722052661786,-7.89854891672742,28.0881534793123,-43.4618098287635,False
2016-07-01,25.2807037367136,14.5224197209047,22.6993529829403,-62.5024764405586,False
2016-08-01,26.2892022072487,32.4085315636621,-25.9489673628921,-32.7487664080187,False
2016-09-01,27.2977006777838,17.2317207342008,-5.88125331306753,-32.648168098917,False
2016-10-01,31.749649472057,-36.9868641479662,-0.646176371988594,25.8833910478977,False
2016-11-01,36.2015982663303,-115.884400719602,12.4122889063957,139.270513546876,False
2016-12-01,40.6535470606036,-32.3717005382896,6.09260218773424,84.6255512899518,False
2017-01-01,45.1054958548769,-22.9335486735595,-48.9884840338103,82.8165368524929,False
2017-02-01,51.4821891666433,-1.94343797143004,-48.7058932048515,32.1671420096382,False
2017-03-01,57.8588824784098,25.7855005398321,-51.7056997548722,-8.93868326336978,False
2017-04-01,64.2355757901763,-65.8715839342528,49.9236091808729,-43.2876010367964,False
2017-05-01,70.6122691019427,-62.7566725883873,28.170082031778,-33.0256785453335,False
2017-06-01,77.3862250333217,21.5348547759966,-45.4578885879522,-49.4631912213661,False
2017-07-01,84.1601809647007,-17.4732432210806,18.3650988148311,-81.0520365584512,False
2017-08-01,90.9341368960797,-46.7451915289173,27.9031217668019,-61.0920671339642,False
2017-09-01,97.7080928274586,-48.3719234780393,33.6800474066325,-30.0162167560519,False
2017-10-01,105.479046634554,-33.5405207227274,28.0881534793123,65.9733206088616,False
2017-11-01,113.250000441648,-41.0330491486768,22.6993529829403,92.0836957240882,False
2017-12-01,121.020954248743,-4.70254488348772,-25.9489673628921,109.630557997637,False
2018-01-01,128.791908055838,104.432507059271,-5.88125331306753,8.65683819795856,False
2018-02-01,134.713918460923,159.998879872024,-0.646176371988594,-28.0666219609579,False
2018-03-01,140.635928866008,158.609543078126,12.4122889063957,16.342239149471,False
2018-04-01,146.557939271092,20.449268719562,6.09260218773424,-38.0998101783884,False
2018-05-01,152.479949676177,7.16151069624595,-48.9884840338103,-49.6529763386124,False
2018-06-01,155.326624925087,-9.22705005973501,-48.7058932048515,-63.3936816605001,False
2018-07-01,158.173300173996,-35.0057905903606,-51.7056997548722,-43.4618098287635,False
2018-08-01,161.019975422906,-83.4411081632204,49.9236091808729,-62.5024764405586,False
2018-09-01,163.866650671816,-72.2879662955754,28.170082031778,-32.7487664080187,False
2018-10-01,164.057626533264,7.0484301536051,-45.4578885879522,-32.648168098917,False
2018-11-01,164.248602394712,71.502907742559,18.3650988148311,25.8833910478977,False
2018-12-01,164.43957825616,197.386786430162,27.9031217668019,139.270513546876,False
2019-01-01,164.630554117609,135.063847185808,33.6800474066325,84.6255512899518,False
2019-02-01,161.178472368479,101.916837299716,28.0881534793123,82.8165368524929,False
2019-03-01,157.726390619349,12.4071143880724,22.6993529829403,32.1671420096382,False
2019-04-01,154.27430887022,-73.3866582439579,-25.9489673628921,-8.93868326336978,False
2019-05-01,150.82222712109,-75.6533727712262,-5.88125331306753,-43.2876010367964,False
2019-06-01,145.93716555838,-99.2653106410578,-0.646176371988594,-33.0256785453335,False
