cycle1,cycle2,nll,acf,avg_rank,norm_prod
43,146,2130.7705014015505,-8.438777779928632e-224,401.0,0.05465799888981993
43,147,2136.9284382442233,-5.202605042382712e-206,394.0,0.07467977955397234
43,148,2142.69450393936,-1.1817982442601144e-195,400.0,0.09342743897183176
43,149,2148.791139873373,-5.049001468706703e-188,403.0,0.11324990720731631
43,151,2157.030150824986,-5.8824507738539326e-182,416.0,0.14003804654314292
43,150,2148.9931398828307,-1.1998771195413579e-195,429.0,0.11390668560353018
43,156,2179.368995701271,-7.148049829065212e-154,454.5,0.21267007636587432
43,152,2170.4428269289547,-9.654669202648796e-168,422.5,0.18364772717709055
43,153,2175.7686188624766,-4.796127533643697e-155,412.0,0.2009638901518322
44,103,2177.4394555432764,-1.334035045497234e-134,331.5,0.2063964118556555
43,154,2176.913124302103,-7.462016772038204e-150,398.5,0.204685110012733
44,102,2180.6093687122625,-4.547761409070139e-135,383.0,0.21670299794371622
43,155,2180.2404881081256,-3.715000781844795e-147,432.5,0.21550362764551706
44,104,2180.1907961363418,-3.3923537223744407e-135,379.0,0.2153420602593543
44,105,2178.523051641134,-1.2320887394900022e-145,404.0,0.20991959241988115
44,106,2172.8681675064427,-6.7332313948944e-148,354.0,0.1915334262868684
44,108,2162.74247305501,-1.0067358495485508e-170,401.0,0.1586109656383744
44,107,2167.413250492994,-3.3912206173027637e-152,350.5,0.17379742886195515
44,109,2158.362669485048,-2.9262402688333034e-187,442.0,0.14437056846148685
44,114,2131.998849522704,-2.3451833131131288e-236,432.5,0.058651823004827075
44,111,2147.423132194798,-5.780017394347322e-231,494.0,0.10880199707327615
44,115,2128.475232873474,-1.818497690735368e-235,413.0,0.047195213186007084
44,113,2137.9236471877393,-5.002315039453576e-244,486.0,0.07791558006494857
44,110,2146.6182380664472,-1.19645695036131e-212,448.5,0.10618498197431776
44,112,2143.9358209876036,-2.315537282755239e-246,523.5,0.0974634299716713
44,116,2126.4651267423105,-2.944470667694437e-237,409.5,0.0406595982393047
44,117,2124.046589625144,-1.7853146745657885e-244,408.5,0.032796019751058496
44,118,2124.237212563659,-2.373063635249611e-247,421.0,0.033415806988571904
44,119,2123.9268082615617,-1.5983100715588072e-250,426.5,0.03240656525508561
44,120,2121.9901680484068,-5.267198788423269e-251,420.5,0.026109815781387463
44,121,2120.93255028182,-1.0238952657852472e-245,402.0,0.0226711005931496
44,127,2134.272639085755,-4.772282925485457e-283,565.0,0.06604477247328736
44,122,2122.773079832609,-1.9177743952920703e-251,424.0,0.028655357969161792
44,125,2130.513104812419,-5.450964368159904e-265,508.5,0.053821105270583716
44,123,2125.241280725008,-1.0283417427146513e-253,439.5,0.036680412165922945
44,126,2132.2752213935255,-2.7926440171696474e-269,527.0,0.059550412438383
44,124,2128.2608546660995,-1.6131675783462468e-258,472.0,0.04649818858882678
44,128,2135.026550317869,-2.906525993772725e-288,580.0,0.06849602290265529
44,129,2135.487170999616,-2.9659381284643495e-290,587.0,0.06999367487521255
44,130,2134.8324226778086,-6.550347782455731e-287,578.0,0.06786484055547656
44,131,2133.539079222009,-7.22252177596901e-294,581.0,0.06365969203625368
44,133,2132.194425902949,-2.805936354705988e-284,558.5,0.0592877157540388
44,132,2120.618987185821,-7.809762627094306e-272,474.0,0.021651588426515808
44,134,2138.0110516827885,-3.868224738790044e-284,590.5,0.07819976512134755
44,135,2138.7133352050205,-6.481968152153331e-284,593.5,0.08048315434819664
44,140,2134.8792983402773,-4.6027474124012805e-259,508.0,0.0680172510553587
44,139,2135.3174950302546,-5.320836820825475e-262,521.0,0.06944199415335305
44,136,2136.1334917982463,-6.60603095708253e-269,546.5,0.07209510813110141
44,137,2135.065043027514,-9.439306066211442e-265,530.5,0.06862117725375944
44,138,2134.6612797820912,-1.0520846572783233e-262,520.5,0.06730839030146686
44,141,2134.655074984197,-6.640514874654254e-260,510.5,0.06728821615780903
44,142,2135.4119400199074,-3.8312437377899394e-259,513.0,0.06974907051934529
44,145,2137.9499722913442,-7.765944141907492e-227,445.5,0.0780011729288906
44,146,2139.580289737033,-7.653599755916675e-220,438.5,0.08330195128119927
44,143,2131.5401793490564,-9.44025084787525e-247,461.0,0.05716051287148482
44,144,2136.1599964656434,-2.4677167073797407e-234,450.5,0.07218128482481556
44,147,2140.1244418233637,-1.0009378640126182e-208,414.0,0.08507119542884177
44,152,2224.066647675898,-6.821378156252026e-170,658.0,0.3579990407418969
44,149,2206.216294409116,-3.042392833496379e-193,735.0,0.2999607940017732
44,153,2173.2206751556178,-1.2065000934605474e-157,399.5,0.19267956191874283
44,150,2212.7939281072413,-6.28555849794552e-190,728.0,0.32134716780807554
44,148,2151.711715683219,-1.6071310850846886e-200,457.5,0.12274580327960948
44,151,2266.41325008925,-1.6403701471895768e-176,714.5,0.4956838541873363
44,154,2165.5878896039767,-1.2997148483582863e-134,255.0,0.1678624905398267
45,103,2186.7542259640413,-1.8982845050701576e-136,468.0,0.23668225191317413
44,156,2178.1011441952387,-9.214073814438613e-162,466.0,0.20854781181249527
44,155,2175.0116884207323,-6.765066879431114e-158,415.5,0.1985028231305526
45,102,2185.0958273006145,-7.274080758529586e-139,465.5,0.23129017090598344
45,106,2180.5916535841006,-2.2224099566978375e-160,494.5,0.21664539936491364
45,109,2265.2717184419903,-6.103199473885177e-189,762.0,0.4919723032496516
45,108,2224.482344768622,-2.5087218376017733e-172,668.5,0.3593506291433197
45,105,2178.0227892214725,-1.1972483955101591e-140,368.5,0.20829305017093042
45,104,2184.666787806689,-1.652150315815092e-140,466.0,0.22989520131420327
45,107,2179.9339379507296,-6.024658961324911e-166,508.0,0.21450691719350135
45,110,2215.40462851428,-9.230604783426123e-217,791.0,0.32983554179842206
45,111,2160.5403769350964,-2.5010312549725296e-231,557.0,0.1514511186570345
45,112,2146.493561115055,-3.4428363708346616e-245,527.0,0.1057796100716127
45,115,2130.713179886163,-8.608058905146668e-237,430.0,0.05447162497307626
45,113,2137.5780430920026,-5.46848997445537e-244,483.5,0.076791890495169
45,114,2135.3819035100023,-8.151070895358785e-240,459.5,0.06965141047043576
45,116,2128.1760788823667,-5.086928050821174e-243,429.0,0.0462225504666936
45,120,2120.905780761169,-1.4653271012836508e-255,429.0,0.022584062761379555
45,117,2126.690307940581,-1.8641498321863237e-248,441.5,0.041391747443924834
45,118,2124.842335457458,-1.173397392158232e-254,441.5,0.035383290281116156
45,121,2121.668486923994,-6.07215930873705e-263,454.0,0.025063908835385607
45,119,2122.8909822092523,-1.3042450196868324e-255,436.0,0.02903870316825199
45,122,2123.1972340403518,-2.5817034647736624e-267,471.5,0.030034443648696108
45,123,2125.765740778247,-2.240590657155694e-270,490.5,0.03838563006947436
45,125,2132.1447942020804,-2.7388370673277787e-278,545.5,0.05912634433140632
45,124,2128.4643498445366,-2.1155078667227905e-274,520.0,0.04715982834463707
45,126,2133.694308029978,-3.636646310951429e-276,550.0,0.06416439957472204
45,128,2137.271650163256,-9.765049657005367e-297,605.5,0.07579569125293158
45,127,2136.135179883192,-4.325894073042182e-290,588.5,0.07210059673343518
45,129,2137.880253567892,-4.4079372289578204e-297,608.0,0.07777449100200341
45,130,2138.7437043459486,-7.17063186091825e-294,612.0,0.0805818959063119
45,131,2140.9181216285842,-2.22272642229053e-302,627.0,0.08765174852376373
45,132,2141.6729672630204,-6.338557230008627e-301,630.5,0.09010603704832965
45,133,2140.9378541576934,-1.220112975001876e-305,630.0,0.08771590643571822
45,134,2132.8828047819593,-3.2186036165718034e-303,585.0,0.061525895729167106
45,135,2117.6315529752733,-1.9557138612404993e-266,458.5,0.011938310417933752
45,137,2143.557179811878,-4.3676808199374895e-251,534.5,0.096232324365284
45,136,2134.4564105969557,-1.239194173946681e-263,523.5,0.06664228313044127
45,138,2147.1872874448322,-1.521580807747615e-253,554.0,0.1080351766307721
45,142,2150.1606887522953,-1.927115331630299e-254,575.5,0.11770282836633122
45,139,2148.8041355597043,-5.251208879462446e-254,565.0,0.11329216109655707
45,141,2151.4889643683705,-1.1258743208047213e-254,585.5,0.12202155454460366
45,140,2148.9153158698355,-2.419896142726307e-254,566.5,0.1136536503161596
45,143,2148.779052348986,-9.221261928302402e-249,550.5,0.11321060609588376
45,145,2149.483503687977,-3.018638556500342e-226,499.5,0.11550104371455293
45,144,2155.3351671507526,-1.6830637756762745e-235,543.5,0.13452701383497237
45,146,2147.829554170006,-5.065909507465382e-215,462.0,0.11012342856122354
45,147,2153.7785597274637,-4.34571574030175e-207,478.5,0.12946589463132807
45,151,2223.8131127777847,-3.404578466504408e-179,694.5,0.3571747029400613
45,148,2155.1672569804996,-3.2732194649515945e-204,475.0,0.13398107439356907
45,149,2160.1021975983454,-7.412016530072416e-194,473.0,0.15002643198093893
45,150,2160.8434688684206,-1.4317115615334376e-184,442.5,0.15243658511522182
45,152,2228.6982414915446,-1.815622449299508e-186,731.0,0.37305810319601485
45,154,2281.3463040055553,-4.149137318413357e-180,731.5,0.5442368578632316
46,102,2178.779004319418,-1.4391433104165513e-137,368.5,0.21075179133908706
45,156,2183.7822345539644,-2.6299963100020966e-177,613.5,0.2270191842870245
45,153,2238.4541806666925,-1.3462189907935902e-175,699.0,0.4047783496564901
46,103,2182.39541047317,-3.2826682418113303e-133,405.0,0.2225100949158879
45,155,2186.898458399021,-2.9984228850829157e-176,641.0,0.2371512060859104
46,104,2181.8640432237507,-6.102273746295857e-141,430.0,0.22078241910631077
46,105,2182.492945722499,-1.1259147775763429e-153,501.0,0.22282721888434942
46,107,2185.3347320534485,-4.93639626184584e-168,596.5,0.23206694057463612
46,106,2190.3062960899856,-4.1264056888457785e-165,607.5,0.24823137474153947
46,109,2286.417042349951,-3.6489293693916224e-193,783.5,0.5607237451975174
46,110,2237.9457322849375,-8.150604394500589e-223,833.5,0.40312519175009576
46,108,2234.5404879801963,-3.9126972527990654e-179,707.0,0.39205345517350065
46,112,2213.387474230836,-5.212017727141929e-236,833.5,0.3232770106441233
46,115,2136.759952305577,-1.5839090124105376e-226,437.0,0.07413196807185451
46,113,2164.6493108869745,-4.169687842991486e-232,580.0,0.16481081630412553
46,111,2269.4098277335625,-3.5066425658038345e-224,847.0,0.5054268609557334
46,114,2196.5944879417666,-4.306105872738401e-234,818.5,0.26867666368279836
46,116,2136.006780794136,-1.5542583544176756e-240,465.0,0.07168312275404277
46,118,2128.4004232064594,-1.2386642482290566e-246,445.0,0.046951978676983995
46,117,2131.6906178708223,-6.469062062944312e-244,451.0,0.05764964537855485
46,119,2126.05598720501,-1.3112509467855533e-254,450.0,0.03932933092962706
46,120,2125.27299360352,-2.824772875895685e-261,460.5,0.0367835227229187
46,121,2125.5051864146003,-1.1668888666694092e-266,481.0,0.0375384693315021
46,124,2129.9465986924524,-9.301187179454742e-280,536.5,0.05197917970871852
46,122,2126.4102813859663,-5.585012468171026e-271,502.5,0.04048127525171542
46,126,2134.5915009962723,-3.8620125267205695e-285,572.0,0.06708151308911939
46,123,2126.068733355719,-6.113034534409062e-275,505.0,0.03937077348422434
46,127,2139.041083162044,-5.768314374250796e-299,618.5,0.08154878686056215
46,125,2131.571529023472,-1.0799556936556013e-280,546.5,0.057262442514655745
46,128,2141.2481325275317,-6.757832443336931e-305,630.0,0.08872473871582245
46,132,2148.7301763828327,-1.1201197527572504e-293,654.0,0.11305169185251389
46,130,2142.381312212531,-4.73428719469961e-291,624.5,0.09240913426676572
