date,observation,trend,seasonal13,seasonal26,remainder,is_projected,projection
2010-01-01,20.0,6.44731036108992,5.40094715395285,-0.58286280060428,8.73460528556151,False,11.26539471443849
2010-02-01,15.0,6.45101219397326,-7.774274115208,6.60633330984554,9.71692861138918,False,5.2830713886108
2010-03-01,4.0,6.4547140268566,-22.9123001734495,17.7583353092027,2.69925083739021,False,1.300749162609801
2010-04-01,1.0,6.45841585973994,-26.428311879668,20.9549893299489,0.0149066899791839,False,0.9850933100208401
2010-05-01,1.0,6.46211769262328,-27.6742652560368,22.885931531974,-0.673783968560437,False,1.6737839685604774
2010-06-01,1.0,6.46581952550662,-25.4647873294261,22.0069400398343,-2.00797223591484,False,3.0079722359148233
2010-07-01,1.0,6.45894941621772,-17.2588408017831,18.4685077168666,-6.66861633130124,False,7.6686163313012194
2010-08-01,1.0,6.45207930692881,-7.52094613102936,14.3981272503049,-12.3292604262043,False,13.32926042620435
2010-09-01,1.0,6.44520919763991,21.8624774563003,-26.9692539309931,-0.338432722947144,False,1.3384327229471094
2010-10-01,1.0,6.438339088351,35.3921004235038,-32.9814028225715,-7.84903668928331,False,8.849036689283295
2010-11-01,1.0,6.43146897906209,34.3807558487194,-26.4534711084741,-13.3587537193075,False,14.35875371930739
2010-12-01,8.0,6.39554583758789,23.9440791686004,-20.9863818786742,-1.35324312751415,False,9.353243127514087
2011-01-01,18.0,6.35962269611368,14.0533735032469,-10.5652636636398,8.15226746427918,False,9.84773253572078
2011-02-01,15.0,6.32369955463947,5.40094715395285,-3.38242476415809,6.65777805556576,False,8.342221944434229
2011-03-01,15.0,6.28777641316526,-7.774274115208,8.82320905515064,7.6632886468921,False,7.3367113531079005
2011-04-01,1.0,6.25185327169105,-22.9123001734495,17.3847033572024,0.275743544555971,False,0.7242564554439523
2011-05-01,1.0,6.28463352581415,-26.428311879668,20.2899550395812,0.853723314272638,False,0.14627668572734986
2011-06-01,1.0,6.31741377993725,-27.6742652560368,21.4251483923717,0.931703083727924,False,0.06829691627214896
2011-07-01,1.0,6.35019403406035,-25.4647873294261,19.1049104421825,1.00968285318321,False,0.0
2011-08-01,1.0,6.38297428818345,-17.2588408017831,11.2882038908433,0.587662622756358,False,0.4123373772436496
2011-09-01,1.0,6.41575454230655,-7.52094613102936,1.97851396830744,0.126677620415367,False,0.8733223795846294
2011-10-01,8.0,6.46144292480424,21.8624774563003,-18.4809508686178,-1.84296951248676,False,9.842969512486741
2011-11-01,9.0,6.50713130730193,35.3921004235038,-29.5866150857495,-3.31261664505619,False,12.312616645056227
2011-12-01,14.0,6.55281968979962,34.3807558487194,-27.6513117594043,0.71773622088526,False,13.282263779114722
2012-01-01,14.0,6.59850807229731,23.9440791686004,-15.7906763277245,-0.751910913173288,False,14.75191091317321
2012-02-01,20.0,6.64419645479499,14.0533735032469,-9.94319285589066,9.24562289784872,False,10.754377102151231
2012-03-01,15.0,6.5510818163947,5.40094715395285,-0.58286280060428,3.63083383025673,False,11.36916616974327
2012-04-01,2.0,6.45796717799441,-7.774274115208,6.60633330984554,-3.29002637263195,False,5.29002637263195
2012-05-01,1.0,6.36485253959411,-22.9123001734495,17.7583353092027,-0.210887675347307,False,1.210887675347311
2012-06-01,1.0,6.27173790119382,-26.428311879668,20.9549893299489,0.201584648525305,False,0.7984153514747199
2012-07-01,1.0,6.17862326279353,-27.6742652560368,22.885931531974,-0.390289538730682,False,1.3902895387307277
2012-08-01,1.0,6.14534803023793,-25.4647873294261,22.0069400398343,-1.68750074064614,False,2.687500740646133
2012-09-01,1.0,6.11207279768233,-17.2588408017831,18.4685077168666,-6.32173971276585,False,7.3217397127658295
2012-10-01,2.0,6.07879756512673,-7.52094613102936,14.3981272503049,-10.9559786844023,False,12.955978684402268
2012-11-01,2.0,6.04552233257114,21.8624774563003,-26.9692539309931,1.06125414212163,False,0.938745857878339
2012-12-01,17.0,6.01224710001554,35.3921004235038,-32.9814028225715,8.57705529905213,False,8.422944700947834
2013-01-01,28.0,5.98828635500628,34.3807558487194,-26.4534711084741,14.0844289047483,False,13.915571095251583
2013-02-01,11.0,5.96432560999703,23.9440791686004,-20.9863818786742,2.07797710007671,False,8.922022899923228
2013-03-01,2.0,5.94036486498777,14.0533735032469,-10.5652636636398,-7.4284747045949,False,9.42847470459487
2013-04-01,2.0,5.91640411997851,5.40094715395285,-3.38242476415809,-5.93492650977328,False,7.93492650977327
2013-05-01,0.0,5.89244337496925,-7.774274115208,8.82320905515064,-6.9413783149119,False,6.941378314911891
2013-06-01,1.0,6.09040255268788,-22.9123001734495,17.3847033572024,0.437194263559148,False,0.5628057364407821
2013-07-01,0.0,6.2883617304065,-26.428311879668,20.2899550395812,-0.150004890319706,False,0.15000489031969977
2013-08-01,0.0,6.48632090812512,-27.6742652560368,21.4251483923717,-0.23720404445994,False,0.23720404446001897
