cycle1,cycle2,nll,acf,avg_rank,norm_prod
43,102,1561.2229475577105,-1.142398294647117e-81,197.5,0.5201194257073241
43,105,1513.3650172753707,-5.743870091129658e-148,335.0,0.3906896676709132
43,103,1575.0254016532974,-3.2509734140678177e-97,252.0,0.5574475915558323
43,104,1539.716337434768,-1.232259114463907e-125,331.0,0.46195570802633135
43,111,1424.2110955963942,-1.4000918827953263e-115,164.5,0.14957662506868485
43,106,1510.243662750777,-8.291237277129335e-134,311.5,0.38224809524996056
43,109,1491.6380748111656,-2.230816741670021e-120,265.5,0.33193006287359106
43,110,1458.1177504440598,-2.3075863908145238e-116,205.5,0.241275751263288
43,108,1470.4068818842666,-1.5318073925129986e-118,229.0,0.2745111919111635
43,112,1440.492177452113,-2.1052240634399428e-119,192.0,0.19360812821695303
43,107,1485.1312279155904,-4.684444781984997e-117,242.5,0.3143325683024808
43,113,1440.8787326550266,-1.204319833473596e-126,210.0,0.19465355055343544
43,115,1473.2233341776648,-7.319479047327549e-150,293.5,0.2821281690336114
43,118,1454.0180974864643,-7.86934925864437e-165,288.0,0.23018841175422675
43,116,1461.6732241075767,-9.245956813626565e-162,291.5,0.25089138069111633
43,114,1450.2110863269281,-2.6415702295856395e-137,248.0,0.21989250971638227
43,117,1462.531020328015,-5.1605584381061455e-169,302.0,0.25321125459848426
43,119,1477.1063732245611,-2.6181005028644315e-160,312.0,0.2926296853046697
43,120,1454.7380835697059,-5.017856180103896e-148,266.0,0.2321355839244732
43,124,1456.5345304617053,-1.378347419113319e-119,216.0,0.2369939992117219
43,123,1490.5885193012891,-7.990184583955319e-127,276.5,0.3290915840091676
43,121,1468.9433293886495,-2.644531124780644e-136,270.0,0.270553075559345
43,122,1475.9663688544815,-2.7211572457180978e-132,270.5,0.2895465912907072
43,125,1503.3012912067265,-1.819937327847274e-114,248.0,0.3634727425303295
43,126,1485.9024474675634,-7.806996236800562e-127,271.0,0.31641829924048825
43,128,1386.6403950120662,-4.063496801955395e-211,264.0,0.04796824082729017
43,129,1368.903665635507,-1.311297073320116e-186,248.0,0.0
43,127,1429.1283375508463,-9.441984650008705e-168,263.0,0.1628750997349859
44,102,1542.108792495033,-2.9379275943695477e-81,178.5,0.46842598495088866
44,104,1493.6576814867933,-9.252652535775456e-117,251.5,0.337392004437685
44,103,1530.8254532666679,-6.156201014350701e-90,182.5,0.4379106846238427
44,105,1494.1779612844282,-3.320759799849048e-138,308.5,0.33879907933298714
44,106,1476.483994319684,-3.534355132694968e-125,254.0,0.2909464876552524
44,107,1473.1826641392217,-3.392071083466421e-107,175.5,0.2820181786200986
44,109,1457.3608372980766,-1.7691186304058174e-100,130.0,0.23922871140035554
44,108,1457.2762706485005,-3.637439432855116e-101,132.5,0.23900000444279293
44,112,1417.4795159800553,-2.8290029459220015e-113,145.0,0.13137135027820587
44,113,1452.8658422350964,-3.299232637339789e-122,218.5,0.2270721857455482
44,111,1419.7394876267022,-5.6090263580094774e-105,109.5,0.13748334882696156
44,110,1441.4910072651537,-1.6447894786121933e-96,92.5,0.1963094215614143
44,114,1432.3347339571208,-5.314454122190319e-128,208.0,0.17154666435879992
44,117,1536.8259042083723,-1.2937144442874861e-135,348.0,0.4541386525729064
44,116,1501.1270018570713,-6.016899988913984e-133,301.5,0.3575924681607879
44,118,1516.4039122279182,-3.1323383349073625e-142,335.5,0.39890823163712463
44,119,1494.1867220633096,-6.7689314768353246e-136,302.5,0.33882277249209763
44,115,1455.6862185970303,-2.4763561460488625e-129,236.5,0.2346997753467992
44,120,1474.665170204209,-2.2887726401289642e-125,251.5,0.28602755410548053
44,121,1474.5222058227525,-7.246085962297203e-115,215.0,0.28564091293089655
