date,trend,remainder,seasonal13,seasonal20,is_projected
2007-07-01,3138.03294097796,-737.924272183721,-385.291773144179,398.18310434994,False
2007-08-01,3138.98679507863,-427.194214302277,-120.328671092524,-124.463909683824,False
2007-09-01,3139.94064917929,-777.650191545068,294.098844756864,-237.389302391086,False
2007-10-01,3140.89450327996,29.2720016841299,529.643239536269,-93.8097445003582,False
2007-11-01,3141.84835738062,-95.4488343480816,513.333974034153,-395.733497066693,False
2007-12-01,3144.31850483421,296.243309492028,156.655506013648,763.782679660119,False
2008-01-01,3146.78865228779,666.948219640955,-364.881283190511,476.144411261768,False
2008-02-01,3149.25879974137,619.054232093836,-156.469460972155,-197.843570863054,False
2008-03-01,3151.72894719496,1022.81716801851,-42.8052309180579,180.259115704592,False
2008-04-01,3161.17077791978,-312.682715179715,-526.337294399702,-315.150768340363,False
2008-05-01,3170.61260864461,284.961034765889,260.860177772342,-363.433821182837,False
2008-06-01,3180.05443936943,-85.6287647698764,18.0435684403564,-23.46924303991,False
2008-07-01,3189.49627009425,-691.855229347008,-176.521706176913,348.880665429667,False
2008-08-01,3189.48976507844,-86.8954905496539,-385.291773144179,-7.30250138460569,False
2008-09-01,3189.48326006262,-449.518966923643,-120.328671092524,303.364377953545,False
2008-10-01,3189.47675504681,-217.811879421255,294.098844756864,-286.763720382416,False
2008-11-01,3189.47025003099,-38.8907174235555,529.643239536269,-560.222772143707,False
2008-12-01,3183.8022393162,154.538422399396,513.333974034153,206.325364250252,False
2009-01-01,3178.13422860141,232.678022926934,156.655506013648,-82.4677575419887,False
2009-02-01,3172.46621788661,257.304425781935,-364.881283190511,11.110639521963,False
2009-03-01,3166.79820717182,200.488149450396,-156.469460972155,398.18310434994,False
2009-04-01,3184.52777542902,-205.258634827137,-42.8052309180579,-124.463909683824,False
2009-05-01,3202.25734368622,208.46925310457,-526.337294399702,-237.389302391086,False
2009-06-01,3219.98691194342,-2.037345215399,260.860177772342,-93.8097445003582,False
2009-07-01,3237.71648020061,-287.026551574276,18.0435684403564,-395.733497066693,False
2009-08-01,3249.15180193457,-382.412775417776,-176.521706176913,763.782679660119,False
2009-09-01,3260.58712366853,-464.439761786116,-385.291773144179,476.144411261768,False
2009-10-01,3272.02244540248,34.149796553093,-120.328671092524,-197.843570863054,False
2009-11-01,3283.45776713644,283.184272402103,294.098844756864,180.259115704592,False
2009-12-01,3295.20515072005,12.3023780840431,529.643239536269,-315.150768340363,False
2010-01-01,3306.95253430366,219.147312845027,513.333974034153,-363.433821182837,False
2010-02-01,3318.69991788727,-75.8861808610036,156.655506013648,-23.46924303991,False
2010-03-01,3330.44730147087,631.553316289966,-364.881283190511,348.880665429667,False
2010-04-01,3331.545954172,-89.7739918152415,-156.469460972155,-7.30250138460569,False
2010-05-01,3332.64460687313,-136.203753908621,-42.8052309180579,303.364377953545,False
2010-06-01,3333.74325957426,164.357755207855,-526.337294399702,-286.763720382416,False
2010-07-01,3334.84191227539,-88.4793179040294,260.860177772342,-560.222772143707,False
2010-08-01,3320.53193441452,-198.900867105127,18.0435684403564,206.325364250252,False
2010-09-01,3306.22195655364,-117.232492834739,-176.521706176913,-82.4677575419887,False
2010-10-01,3291.91197869276,249.26915492945,-385.291773144179,11.110639521963,False
2010-11-01,3277.60200083189,660.543565910693,-120.328671092524,398.18310434994,False
2010-12-01,3273.61523462139,241.749830305569,294.098844756864,-124.463909683824,False
2011-01-01,3269.62846841089,781.117594443924,529.643239536269,-237.389302391086,False
2011-02-01,3265.6417022004,-712.165931734191,513.333974034153,-93.8097445003582,False
2011-03-01,3261.6549359899,-130.576944936852,156.655506013648,-395.733497066693,False
2011-04-01,3261.89319530531,-927.794591774921,-364.881283190511,763.782679660119,False
2011-05-01,3262.13145462073,-193.80640491034,-156.469460972155,476.144411261768,False
2011-06-01,3262.36971393614,-481.720912155031,-42.8052309180579,-197.843570863054,False
2011-07-01,3262.60797325156,-377.529794556447,-526.337294399702,180.259115704592,False
2011-08-01,3262.54997225594,87.7406183120838,260.860177772342,-315.150768340363,False
2011-09-01,3262.49197126032,-71.1017185178334,18.0435684403564,-363.433821182837,False
2011-10-01,3262.43397026469,713.556978952129,-176.521706176913,-23.46924303991,False
2011-11-01,3262.37596926907,15.0351384454384,-385.291773144179,348.880665429667,False
2011-12-01,3283.95264115546,130.678531321666,-120.328671092524,-7.30250138460569,False
2012-01-01,3305.52931304185,539.00746424774,294.098844756864,303.364377953545,False
2012-02-01,3327.10598492824,6.01449591790106,529.643239536269,-286.763720382416,False
2012-03-01,3348.68265681463,79.2061412949201,513.333974034153,-560.222772143707,False
2012-04-01,3340.17098585851,-2.15185612241476,156.655506013648,206.325364250252,False
2012-05-01,3331.65931490239,-160.310274169896,-364.881283190511,-82.4677575419887,False
2012-06-01,3323.14764394627,-549.788822496083,-156.469460972155,11.110639521963,False
2012-07-01,3314.63597299015,-174.013846422036,-42.8052309180579,398.18310434994,False
2012-08-01,3308.0836732913,340.717530792229,-526.337294399702,-124.463909683824,False
2012-09-01,3301.53137359244,-261.002248973697,260.860177772342,-237.389302391086,False
2012-10-01,3294.97907389358,636.787102166418,18.0435684403564,-93.8097445003582,False
2012-11-01,3288.42677419473,465.82842904888,-176.521706176913,-395.733497066693,False
2012-12-01,3286.4494496236,966.059643860467,-385.291773144179,763.782679660119,False
2013-01-01,3284.47212505247,-57.2878652217091,-120.328671092524,476.144411261768,False
2013-02-01,3282.49480048134,-220.750074375146,294.098844756864,-197.843570863054,False
2013-03-01,3280.5174759102,-978.419831151067,529.643239536269,180.259115704592,False
