cycle1,cycle2,nll,acf,avg_rank,norm_prod
10,24,139.72384248356113,-9.8485257360246e-07,17.5,0.3901772176085976
10,25,312.5171922229619,-1.0878771792452407e-16,43.0,0.8940740827239746
10,28,342.6230417554047,-1.2286185703157631e-30,60.5,0.9813277289610022
10,26,343.07779996443566,-3.511893212496602e-23,53.5,0.9826457223911844
10,29,346.0249125629566,-1.3165661887336999e-27,58.5,0.9911871295955429
10,27,325.4924754475082,-2.0319653784181693e-26,54.5,0.9316794248716235
10,33,277.9776983753139,-1.0184272421599798e-19,40.0,0.7939707199508799
10,30,348.85796978462605,-4.91750283272487e-27,58.5,0.9993979781989085
10,32,304.0452137530393,-6.504830532549844e-28,53.0,0.8695203490213036
10,31,337.45814011361085,-8.798191609227812e-35,61.0,0.9663586612317404
10,35,155.49440202706668,-3.592112233981548e-06,16.5,0.4263563648348083
10,34,268.6961409129414,-4.552430010359396e-16,36.5,0.7670706409295346
10,36,188.90699022620663,-1.0215196480372181e-08,25.5,0.5357795713270584
11,25,158.20207045978975,-5.4401935535994594e-15,24.5,0.4468335214077964
11,24,100.91752982330047,-3.3455751507284426e-05,5.5,0.20556510568308858
11,26,298.1328184001864,-4.361104224131274e-19,43.0,0.8523848733400466
11,30,281.74520328472624,-2.6385092879978805e-29,51.0,0.80488981194345
11,28,281.684468140856,-3.6194952157716767e-26,46.5,0.8047137875880618
11,29,302.16877491214774,-2.633491176521856e-23,48.5,0.8640819995526837
11,27,284.0276798632198,-6.221083517330042e-22,44.0,0.8115049517589794
11,31,296.93516355382815,-8.547289908090906e-30,54.0,0.8489137953302873
11,32,262.57328887880095,-1.789053247265994e-21,40.5,0.7493252135937648
11,33,339.0539446445115,-1.36906565860749e-17,47.0,0.9709836682041614
11,34,198.68048716463736,-1.4942618168306114e-09,27.5,0.5641424909582673
11,35,64.08512146219023,-1.6167474040201892e-06,10.5,0.1718071400170292
12,24,242.65235806006416,-2.268391849139421e-05,20.0,0.5659406587090078
12,25,152.01606388636742,-2.0400346533922362e-07,19.5,0.4282042618538931
11,36,187.11256267869243,-1.6412213823532804e-06,21.5,0.5236477216066331
12,26,68.1262954518039,-2.0149872705585325e-05,5.0,0.15579213679929774
12,27,169.92790044368147,-5.2619094126456635e-05,12.0,0.2781816496712395
12,29,154.29020303062623,-2.4350724964622123e-06,17.0,0.4270024896079266
12,31,4.027393040380919,-7.020161457541729e-07,11.5,0.0
12,32,117.3431614900347,-5.270960743257219e-06,11.0,0.31455049964717546
12,28,115.07408881656337,-3.972508876410721e-06,11.0,0.31159884598596194
12,30,94.22494309742966,-7.657560271761745e-07,13.0,0.25980987051594356
12,33,93.96509991127779,-0.00012485534790621265,2.5,0.0
12,35,237.51826865907103,-5.572340316849315e-06,22.0,0.6465082087580306
13,24,119.65059319849159,-4.871344572195802e-05,7.5,0.20435922942803722
12,36,293.6289014044809,-3.9692357098783815e-06,30.0,0.8126485763710494
12,34,109.34447040299473,-1.4955894865603807e-07,16.0,0.3048673822580028
13,25,119.96904443912943,-2.3642238962825485e-09,19.0,0.3360190937122509
13,26,349.06569036182503,-2.2178502479708235e-20,52.0,0.9999999999999998
13,29,323.7492708249152,-5.0936322411705335e-23,50.5,0.9266272186784976
13,28,223.21306114515855,-2.5761301531773482e-23,40.0,0.6352502600619436
13,30,322.18310438293935,-6.171810001941878e-26,51.5,0.9220881096748476
13,31,312.7314822719627,-1.1510869281676193e-29,56.0,0.8946951443595471
13,27,184.68631080962402,-3.065339347602955e-16,28.0,0.5235909148963088
13,32,242.95442829914134,-4.6694379323376125e-22,39.5,0.6924652628811564
13,33,194.64682271246156,-1.3274903381579239e-12,28.0,0.552458753492477
13,36,211.3667810694896,-1.2164157280160052e-05,19.0,0.5423720845085254
13,34,160.17837783837695,-4.2879690851275634e-11,24.0,0.4525611573628199
14,25,179.30290884104684,-7.896153981480089e-18,29.0,0.5079885831843324
13,35,134.19003565383875,-6.531439109385869e-06,11.5,0.3575068883643913
14,27,294.9859453663928,-3.025986261690473e-26,49.0,0.8432645146487883
14,24,135.86624033488127,-7.124270693483018e-05,8.0,0.16407263286773635
14,26,222.62671914893497,-1.89092686700264e-21,36.0,0.633550906683564
14,29,323.57692462527336,-6.717788819642733e-29,56.0,0.9261277199243599
14,28,345.80515839617834,-4.106285395137237e-28,59.0,0.990550231696138
14,30,264.7685116559801,-7.475787317062244e-33,51.5,0.7556874719118147
14,31,257.4661292275249,-2.146211407563992e-37,50.5,0.7345234953760386
14,32,258.4377714248423,-5.853404393621564e-31,49.5,0.7373395369715957
14,35,185.60074640456713,-2.4615431240707334e-06,20.0,0.5158662301724309
14,34,217.14919439419845,-1.1628366387375715e-15,30.5,0.617675785576012
14,33,258.5026815997118,-4.053790768038166e-21,39.0,0.737527661522909
14,36,102.58733163192771,-1.6795856449431493e-05,7.5,0.2472230115232589
