date,observation,trend,seasonal11,seasonal34,remainder,is_projected,projection
2014-01-01,67.0,27.0978093153879,8.26380943747252,9.9725289746408,21.6658522724989,False,45.33414772750122
2014-02-01,61.0,27.0642770363025,-14.0847967669239,57.5845464891911,-9.56402675856971,False,70.5640267585697
2014-03-01,71.0,27.0307447572172,-55.3206405720661,106.374529416927,-7.08463360207772,False,78.0846336020781
2014-04-01,36.0,26.9972124781318,-88.1890961109729,150.233747055514,-53.0418634226728,False,89.04186342267289
2014-05-01,11.0,26.9636801990465,-54.0716039202323,76.3752531284168,-38.267329407231,False,49.267329407231
2014-06-01,2.0,26.9301479199611,2.22763952088809,-108.097629162981,80.9398417221317,False,0.0
2014-07-01,4.0,26.8966156408758,83.5123259997492,-126.440272914979,20.0313312743542,False,0.0
2014-08-01,7.0,26.9176384842807,57.106228036637,-103.444529380382,26.4206628594647,False,0.0
2014-09-01,13.0,26.9386613276856,28.0147529970314,-88.6125780372195,46.6591637125025,False,0.0
2014-10-01,23.0,26.9596841710904,16.2280486033965,-77.0253784814912,56.8376457070041,False,0.0
2014-11-01,64.0,26.9807070144953,16.3133265305804,-39.9175445928192,60.6235110477435,False,3.376488952256505
2014-12-01,108.0,27.0017298579002,8.26380943747252,36.5403771208845,36.1940835837428,False,71.80591641625722
2015-01-01,86.0,27.0227527013051,-14.0847967669239,72.6046109142242,0.457433151394667,False,85.54256684860539
2015-02-01,44.0,27.0960733419511,-55.3206405720661,84.506538254164,-12.2819710240491,False,56.281971024049
2015-03-01,31.0,27.1693939825971,-88.1890961109729,86.8967690702576,5.12293305811817,False,25.877066941881807
2015-04-01,17.0,27.2427146232431,-54.0716039202323,57.7170186446665,-13.8881293476773,False,30.888129347677303
2015-05-01,7.0,27.3160352638891,2.22763952088809,50.0451312778368,-72.5888060626139,False,79.588806062614
2015-06-01,9.0,27.389355904535,83.5123259997492,-59.7859656139578,-42.1157162903264,False,51.1157162903264
2015-07-01,4.0,27.462676545181,57.106228036637,-71.2599316904262,-9.30897289139179,False,13.3089728913918
2015-08-01,4.0,27.417684577392,28.0147529970314,-36.1552924153442,-15.2771451590792,False,19.2771451590792
2015-09-01,2.0,27.372692609603,16.2280486033965,-37.3979714333294,-4.20276977967012,False,6.202769779670096
2015-10-01,14.0,27.327700641814,16.3133265305804,-25.3675831010033,-4.27344407139107,False,18.2734440713911
2015-11-01,38.0,27.282708674025,8.26380943747252,36.4365113405995,-33.983029452097,False,71.98302945209703
2015-12-01,99.0,27.237716706236,-14.0847967669239,57.7633583925718,28.0837216681161,False,70.9162783318839
2016-01-01,1.0,27.1927247384469,-55.3206405720661,81.6015098043738,-52.4735939707546,False,53.47359397075461
2016-02-01,4.0,28.6344270676605,-88.1890961109729,154.709150082608,-91.1544810392958,False,95.1544810392956
2016-03-01,2.0,30.076129396874,-54.0716039202323,75.765737847507,-49.7702633241487,False,51.7702633241487
2016-04-01,1.0,31.5178317260875,2.22763952088809,30.9114446680939,-63.6569159150695,False,64.65691591506949
2016-05-01,4.0,32.9595340553011,83.5123259997492,-45.8126082407116,-66.6592518143386,False,70.65925181433869
2016-06-01,1.0,34.4012363845146,57.106228036637,-90.5385306423621,0.0310662212105655,False,0.9689337787894914
2016-07-01,0.0,35.8429387137281,28.0147529970314,-91.0949094814196,27.2372177706601,False,0.0
2016-08-01,0.0,39.6519918022328,16.2280486033965,-92.1521521818716,36.2721117762422,False,0.0
2016-09-01,6.0,43.4610448907376,16.3133265305804,-80.0220938527356,26.2477224314177,False,0.0
2016-10-01,20.0,47.2700979792423,8.26380943747252,-52.9137906690057,17.3798832522909,False,2.620116747709126
2016-11-01,72.0,51.079151067747,-14.0847967669239,9.9725289746408,25.0331167245362,False,46.9668832754639
2016-12-01,99.0,54.8882041562517,-55.3206405720661,57.5845464891911,41.8478899266231,False,57.152110073376704
2017-01-01,56.0,58.6972572447565,-88.1890961109729,106.374529416927,-20.8826905507101,False,76.8826905507106
2017-02-01,33.0,63.8175652519474,-54.0716039202323,150.233747055514,-126.979708387229,False,159.9797083872291
2017-03-01,23.0,68.9378732591383,2.22763952088809,76.3752531284168,-124.540765908443,False,147.54076590844318
2017-04-01,5.0,74.0581812663292,83.5123259997492,-108.097629162981,-44.4728781030974,False,49.4728781030974
2017-05-01,3.0,79.1784892735202,57.106228036637,-126.440272914979,-6.844444395178,False,9.844444395178186
2017-06-01,4.0,84.2987972807111,28.0147529970314,-103.444529380382,-4.86902089736016,False,8.8690208973605
2017-07-01,4.0,89.419105287902,16.2280486033965,-88.6125780372195,-13.0345758540791,False,17.034575854078994
2017-08-01,11.0,94.3415256369833,16.3133265305804,-77.0253784814912,-22.6294736860725,False,33.6294736860725
2017-09-01,53.0,99.2639459860646,8.26380943747252,-39.9175445928192,-14.610210830718,False,67.61021083071792
2017-10-01,166.0,104.186366335146,-14.0847967669239,36.5403771208845,39.3580533108936,False,126.6419466891066
2017-11-01,187.0,109.108786684227,-55.3206405720661,72.6046109142242,60.6072429736147,False,126.3927570263851
2017-12-01,200.0,114.031207033308,-88.1890961109729,84.506538254164,89.6513508235002,False,110.3486491764991
2018-01-01,236.0,118.95362738239,-54.0716039202323,86.8967690702576,84.2212074675852,False,151.7787925324153
2018-02-01,266.0,122.451482527416,2.22763952088809,57.7170186446665,83.6038593070296,False,182.3961406929706
