cycle1,cycle2,nll,acf,avg_rank,norm_prod
12,12,301.77048192933904,-8.574581851089694e-17,315.0,0.9382411833170683
12,16,249.251025019749,-1.5484414830839244e-25,290.0,0.6562225351162537
12,13,257.56756526186024,-6.192473445736698e-16,290.0,0.7008806404128369
12,15,284.07043901084006,-6.930507290644528e-19,311.0,0.843195604579182
12,18,256.88372736852966,-1.0520586629303124e-06,230.5,0.6972066769604142
12,20,189.31685462955306,-0.00010808129768367275,107.5,0.33429503263756655
12,21,187.80776567564556,-6.614850821001697e-10,176.0,0.32628490837362684
12,14,275.45331470200125,-1.56497909655174e-16,303.5,0.7969234248584246
12,17,269.4331594380245,-7.404935698373861e-18,301.0,0.7645964331222305
12,22,218.72572696704083,-2.7039635335637166e-09,213.5,0.4923079788748333
12,19,207.30888222296167,-0.0004155012784102677,123.0,0.4305392135670819
12,23,222.4582750912061,-1.244538037912909e-10,228.0,0.512350995505905
12,26,226.2388007602673,-2.0171880901640963e-07,209.0,0.5326513609526483
12,24,245.0246109845761,-3.2136512541378294e-14,271.0,0.6335275637080188
12,29,207.07311402754476,-0.00022675633072703123,123.0,0.4294840994699254
13,17,280.1288588760698,-2.4871038313965744e-06,235.5,0.8220248504380699
12,27,237.15623810008606,-1.4551473698579912e-05,187.0,0.5912537959069527
13,16,227.50271851776427,-1.6845035900513714e-15,253.0,0.5394386161411342
13,15,249.37193777076382,-6.785949029517372e-11,266.5,0.6568718115282681
12,25,227.29323483606737,-7.035304802682187e-07,199.5,0.5383127535449058
13,14,270.47112446150874,-9.589896986913122e-12,284.5,0.7701700911344316
12,28,216.0894441389363,-0.00019660649094712252,139.5,0.4779088132213522
13,13,303.3155879389231,-1.003868809836845e-07,271.0,0.9465378383248585
13,12,257.56756526186024,-6.192473445736698e-16,290.0,0.7008806404128369
13,18,246.97634164369637,-0.001371860806666476,165.5,0.6417254108596622
13,19,215.35831268151622,-0.11460462815266009,92.0,0.3338133951129228
13,20,205.5696042780953,-9.348541841449494e-05,128.0,0.4215604758384148
13,25,230.8483372481759,-2.3850041899764988e-09,230.5,0.5574038950469444
13,22,246.75418300180914,-6.221638114063308e-07,223.0,0.6428139753512618
13,23,277.425692074407,-3.578904159448072e-06,231.5,0.807507217900909
13,26,249.6241273130839,-2.3512496580970288e-05,202.5,0.6581860329592224
13,28,216.26072816813272,-0.021314992544774102,104.0,0.45268971457663326
13,24,243.8415634524506,-3.0010589981749604e-12,260.0,0.6271748425328111
13,21,218.97500460746417,-4.4409303298548137e-07,195.5,0.4936459854340752
13,27,217.7290348719338,-0.0008345188965464453,135.5,0.48590606164026334
13,29,208.87409900273244,-0.00598385715719138,101.0,0.4326137070644271
14,12,275.45331470200125,-1.56497909655174e-16,303.5,0.7969234248584246
14,13,270.47112446150874,-9.589896986913122e-12,284.5,0.7701700911344316
14,14,287.71069059682407,-9.30698614436973e-08,267.0,0.8627427971201004
14,15,244.21505961138547,-2.4750058598870235e-07,228.5,0.6291800375365096
14,19,250.09158545696314,-0.023763858227311287,150.0,0.6201701065506293
14,17,295.6545623436897,-5.23721663811108e-05,225.0,0.9052774505098484
14,20,280.84914895066976,-0.0006313918861609729,200.5,0.8245507069595389
14,16,237.00303631410114,-5.5917733249509186e-15,259.5,0.5904533626761752
14,18,285.5955210497241,-0.0035508202774975407,189.0,0.8435745940955444
14,21,259.05860527137287,-4.1544986193177723e-08,256.0,0.7088871415566536
14,22,272.0410098032903,-8.910244709488658e-06,223.5,0.7785821280902437
14,23,262.8004193720515,-5.316866830153317e-09,263.0,0.7289799773694456
14,25,236.8766195862321,-2.0627499614259365e-12,251.0,0.5897745309256948
14,24,237.71231616889534,-1.8064021606381671e-13,258.0,0.5942620491630777
14,26,237.6691336632746,-3.524346667301306e-07,220.0,0.5940296271322136
14,28,249.32211123162986,-0.012868646064168873,151.5,0.6347742204290597
15,12,284.07043901084006,-6.930507290644528e-19,311.0,0.843195604579182
15,14,244.21505961138547,-2.4750058598870235e-07,228.5,0.6291800375365096
14,27,200.05417658808204,-0.1214844631238999,64.0,0.26899743403931176
14,29,205.92741589075257,-5.257759388042959e-06,148.0,0.4235779384417927
15,13,249.37193777076382,-6.785949029517372e-11,266.5,0.6568718115282681
15,15,313.2716345384278,-1.4372145000669911e-09,286.0,0.9999999962868761
15,16,247.3086938870977,-2.456529774361995e-16,280.5,0.6457926176604876
15,17,292.04731146260195,-7.992789138993539e-09,275.0,0.8860297456228404
15,18,278.7484573558541,-0.0007448493069273547,197.5,0.8130500436531501
15,19,219.09933691989505,-0.09984771058095863,103.0,0.36679984891506506
15,20,222.3857024040805,-2.241965668217324e-05,167.0,0.511931641269189
15,21,237.01564574107135,-4.824493734231706e-07,214.0,0.5905203366514785
15,25,229.31850317909675,-5.2980450865395016e-14,249.5,0.5491890051539237
15,22,289.3603666464098,-1.042566708887976e-10,288.5,0.8716014243709167
15,24,239.10785257160185,-6.665822885363515e-19,276.5,0.6017557917297306
15,23,272.5603701661278,-1.2359033849135408e-13,290.5,0.7813889095502311
15,26,222.56833865988972,-5.577196764856306e-08,210.5,0.5129419404172094
15,27,191.18349427069936,-0.0009795995572184511,94.5,0.3435402202026243
15,28,182.60784219170273,-2.5133685134067913e-05,112.5,0.29834301868357055
15,29,195.33163217010573,-8.091622773202549e-07,148.5,0.36668575317719576
16,13,227.50271851776427,-1.6845035900513714e-15,253.0,0.5394386161411342
16,12,249.251025019749,-1.5484414830839244e-25,290.0,0.6562225351162537
16,14,237.00303631410114,-5.5917733249509186e-15,259.5,0.5904533626761752
16,16,247.12306388115667,-4.288642825468269e-16,279.0,0.6447958228263152
16,17,252.9859855842111,-5.0133393412941615e-14,280.5,0.6762785027794689
16,15,247.3086938870977,-2.456529774361995e-16,280.5,0.6457926176604876
