date,observation,trend,seasonal60,seasonal117,remainder,is_projected,projection
2010-01-01,258.0,199.719613477243,164.996957705629,-79.2369484687386,-27.4796227141325,False,285.47962271413337
2010-01-08,638.0,199.60915011749,272.235026067882,-54.3537355755221,220.50955939015,False,417.4904406098499
2010-01-15,639.0,199.498686757737,276.477078022294,-56.0228180829689,219.047053302938,False,419.9529466970621
2010-01-22,670.0,199.388223397984,284.889473808865,-67.5293283592408,253.251631152392,False,416.74836884760816
2010-01-29,572.0,199.277760038232,348.199795967287,-144.138286398822,168.660730393303,False,403.33926960669703
2010-02-05,570.0,199.167296678479,364.87796523464,-168.168042457093,174.122780543974,False,395.87721945602595
2010-02-12,339.0,199.056833318726,310.324621071168,-225.450810098451,55.0693557085574,False,283.930644291443
2010-02-19,298.0,198.946369958973,361.144789473845,-328.08965976121,65.9985003283914,False,232.001499671608
2010-02-26,342.0,198.83590659922,414.707117800227,-334.462921601092,62.9198972016444,False,279.08010279835503
2010-03-05,195.0,198.725443239468,335.835743651104,-352.004559370716,12.4433724801438,False,182.55662751985602
2010-03-12,144.0,198.614979879715,331.383833306649,-403.390798152863,17.391984966499,False,126.60801503350103
2010-03-19,190.0,198.504516519962,373.086145166415,-436.198446681548,54.6077849951712,False,135.39221500482904
2010-03-26,129.0,198.394053160209,305.709092719361,-406.757901812684,31.654755933114,False,97.34524406688604
2010-04-02,144.0,198.283589800457,262.177041676068,-393.863349522727,77.4027180462024,False,66.59728195379799
2010-04-09,193.0,198.173126440704,302.533240083137,-402.230341101872,94.5239745780312,False,98.47602542196901
2010-04-16,194.0,198.062663080951,272.847374723824,-335.745622475675,58.8355846709009,False,135.16441532909997
2010-04-23,153.0,197.952199721198,213.778063419679,-315.55457694817,56.824313807292,False,96.17568619270702
2010-04-30,119.0,197.841736361445,228.471357629402,-343.298557138575,35.9854631477281,False,83.01453685227199
2010-05-07,311.0,197.731273001693,207.249030743977,-240.363521003333,146.383217257664,False,164.616782742337
2010-05-14,102.0,197.599700817761,143.556134455945,-266.312345987007,27.1565107133016,False,74.843489286699
2010-05-22,85.0,197.468128633829,132.369561731535,-281.313563871583,36.475873506219,False,48.524126493780955
2010-05-29,87.0,197.336556449897,73.161742567161,-225.655138008311,42.1568389912531,False,44.84316100874696
2010-06-05,113.0,197.204984265965,-8.38591356156524,-124.932094685909,49.1130239815092,False,63.88697601849077
2010-06-12,62.0,197.073412082033,-6.74738607271607,-165.360755574554,37.0347295652371,False,24.965270434762942
2010-06-19,42.0,196.941839898101,-52.4933000558311,-119.68231344419,17.2337736019199,False,24.766226398079908
2010-06-26,85.0,196.810267714169,-106.125371799793,-11.7716833331213,6.08678741874547,False,78.91321258125468
2010-07-03,69.0,196.678695530237,-130.734440605753,-35.4328898912826,38.4886349667986,False,30.5113650332014
2010-07-10,84.0,196.547123346305,-178.485346417292,18.7550785192541,47.1831445517329,False,36.81685544826712
2010-07-17,93.0,196.415551162373,-198.077818481513,59.4795908851117,35.1826764340278,False,57.81732356597169
2010-07-24,90.0,196.283978978441,-211.989213210486,79.2406819456314,26.4645522864136,False,63.53544771358639
2010-07-31,84.0,196.152406794509,-232.898826340495,107.843271977723,12.9031475682633,False,71.09685243173702
2010-08-07,51.0,196.020834610577,-235.989500293341,112.082123635307,-21.1134579525432,False,72.113457952543
2010-08-14,34.0,195.889262426646,-271.793231604506,148.990634308471,-39.0866651306103,False,73.08666513061101
2010-08-21,38.0,195.757690242714,-262.076569819544,155.43903240068,-51.1201528238503,False,89.12015282385002
2010-08-28,38.0,195.626118058782,-305.988169097945,213.77105993678,-65.4090088976172,False,103.40900889761701
2010-09-04,85.0,195.49454587485,-302.327855805153,247.923109839794,-56.08979990949,False,141.089799909491
2010-09-11,51.0,195.362973690918,-308.354015858511,254.796592726586,-90.8055505589925,False,141.80555055899302
2010-09-18,51.0,195.130626458487,-300.633351385774,245.689291031824,-89.1865661045368,False,140.186566104537
2010-09-25,37.0,194.898279226056,-291.610867831735,235.861764550856,-102.149175945177,False,139.149175945177
2010-10-02,38.0,194.665931993625,-263.1650419589,269.615150756871,-163.116040791597,False,201.116040791596
2010-10-10,52.0,194.433584761195,-238.640352524541,287.302727943884,-191.095960180538,False,243.09596018053801
2010-10-17,49.0,194.201237528764,-285.170818196338,322.384112953871,-182.414532286296,False,231.414532286297
2010-10-24,59.0,193.968890296333,-323.334507254686,412.430949440458,-224.065332482104,False,283.06533248210496
2010-10-31,99.0,193.736543063902,-304.863639927079,371.324371060096,-161.197274196919,False,260.19727419691895
2010-11-07,93.0,193.504195831471,-306.792233747208,375.602058389081,-169.314020473345,False,262.314020473344
2010-11-14,214.0,193.27184859904,-287.181209412731,359.103166605153,-51.1938057914625,False,265.19380579146195
2010-11-21,261.0,193.03950136661,-223.750890555766,296.301987447727,-4.59059825857105,False,265.59059825857105
2010-11-28,466.0,192.807154134179,-236.105425875993,418.580631777995,90.7176399638184,False,375.282360036181
2010-12-05,522.0,192.574806901748,-168.740847715412,388.317440008601,109.848600805063,False,412.15139919493697
2010-12-12,511.0,192.342459669317,-112.279598687819,344.537407704938,86.3997313135632,False,424.60026868643604
2010-12-19,484.0,192.110112436886,-119.696470636526,336.111520805378,75.4748373942611,False,408.52516260573805
2010-12-26,448.0,191.877765204456,-85.9869723908935,282.890600009966,59.2186071764721,False,388.78139282352856
2011-01-02,409.0,191.645417972025,-51.6453350596163,215.153644373086,53.8462727145049,False,355.1537272854947
2011-01-09,464.0,191.413070739594,-38.4098599508649,225.673067866854,85.3237213444168,False,378.67627865558313
