date,trend,remainder,seasonal22,seasonal22.1,is_projected,projection,observation
2018-05-01,44.395944355226,2.40410371229603,-22.8000477807124,-22.8000477807124,False,0.0,2.40410371229603
2018-06-01,44.8966028906057,10.7355158588974,-20.6321184626935,-20.6321184626935,False,3.632365965218696,14.367881824116097
2018-07-01,45.3972614259853,8.73359416257123,-23.130855301747,-23.130855301747,False,0.0,8.73359416257123
2018-08-01,45.897919961365,8.30136594091986,-23.1992856154753,-23.1992856154753,False,0.0,8.30136594091986
2018-09-01,46.3985784967447,6.20247111537969,-21.6010493253147,-21.6010493253147,False,3.1964798461152952,9.398950961494986
2018-10-01,47.0056718769143,7.62258693215659,3.37174147773879,3.37174147773879,False,53.74915483239188,61.371741764548474
2018-11-01,47.612765257084,-238.624006667097,251.011241696822,251.011241696822,False,549.635248650728,311.01124198363107
2018-12-01,48.2198586372536,-16.6344083475628,-0.585450002881138,-0.585450002881138,False,47.048958631491324,30.414550283928524
2019-01-01,48.8269520174232,-2.64485445892966,-18.1820972716839,-18.1820972716839,False,12.462757474055401,9.81790301512574
2019-02-01,49.6626668512987,-3.95841386551513,-21.7042526989739,-21.7042526989739,False,6.254161453350903,2.2957475878357734
2019-03-01,50.4983816851742,0.394692445441088,-30.8930738438057,-30.8930738438057,False,0.0,0.394692445441088
2019-04-01,51.3340965190497,-3.67104672894488,-32.6630495032952,-32.6630495032952,False,0.0,-3.67104672894488
2019-05-01,52.1698113529252,-11.4034521467201,-29.7663589193955,-29.7663589193955,False,0.0,-11.4034521467201
2019-06-01,54.273765518997,-76.2752274124639,30.0014621802766,30.0014621802766,False,114.2766898795502,38.0014624670863
2019-07-01,56.3777196850687,-32.4803453376571,-12.897374060602,-12.897374060602,False,30.582971563864696,-1.8973737737924026
2019-08-01,58.4816738511404,-20.7460344586514,-16.7356391056794,-16.7356391056794,False,25.0103956397816,4.264361181130198
2019-09-01,60.5856280172122,-8.0117237683727,-22.5739039620298,-22.5739039620298,False,15.437820093152602,7.426096324779902
2019-10-01,64.8463212583752,130.586865273415,46.5668137550194,46.5668137550194,False,157.979948768414,288.566814041829
2019-11-01,69.1070144995383,32.1854437939104,-0.292458006639018,-0.292458006639018,False,68.52209848626026,100.70754228017066
2019-12-01,73.3677077407014,22.399242347934,-4.76694980182566,-4.76694980182566,False,63.833808137050084,86.23305048498409
2020-01-01,77.6284009818644,-1.11967479508483,-10.50872589997,-10.50872589997,False,56.6109491819244,55.491274386839564
2020-02-01,78.7933139117255,-10.77473776797,-18.0185758569457,-18.0185758569457,False,42.75616219783411,31.981424429864106
2020-03-01,79.9582268415866,-22.1581787740645,-22.8000477807124,-22.8000477807124,False,34.35813128016179,12.199952506097294
2020-04-01,81.1231397714476,-26.4910210219445,-20.6321184626935,-20.6321184626935,False,39.858902846060595,13.367881824116093
2020-05-01,82.2880527013087,-25.1571971127521,-23.130855301747,-23.130855301747,False,36.0263420978147,10.869144985062597
2020-06-01,80.0942849162164,-22.8949990139316,-23.1992856154753,-23.1992856154753,False,33.695713685265794,10.800714671334195
2020-07-01,77.9005171311242,-21.2994675189999,-21.6010493253147,-21.6010493253147,False,34.6984184804948,13.3989509614949
2020-08-01,75.7067493460319,-6.078490536961,3.37174147773879,3.37174147773879,False,82.45023230150947,76.37174176454847
2020-09-01,73.5129815609397,480.475777029047,251.011241696822,251.011241696822,False,575.5354649545837,1056.0112419836307
2020-10-01,69.9641726125771,-22.3787223228863,-0.585450002881138,-0.585450002881138,False,68.79327260681482,46.41455028392852
2020-11-01,66.4153636642145,-35.2332661057209,-18.1820972716839,-18.1820972716839,False,30.051169120846694,-5.182096984874207
2020-12-01,62.8665547158519,-33.1623017300683,-21.7042526989739,-21.7042526989739,False,19.4580493179041,-13.704252412164202
2021-01-01,59.3177457674893,-20.424671636874,-30.8930738438057,-30.8930738438057,False,0.0,-20.424671636874
2021-02-01,55.5194633467465,-14.8564135566417,-32.6630495032952,-32.6630495032952,False,0.0,-14.8564135566417
2021-03-01,51.7211809260037,-13.9548217197986,-29.7663589193955,-29.7663589193955,False,0.0,-13.9548217197986
2021-04-01,47.922898505261,-69.9243603987279,30.0014621802766,30.0014621802766,False,107.92582286581421,38.00146246708631
2021-05-01,44.1246160845182,-23.2272417371065,-12.897374060602,-12.897374060602,False,18.3298679633142,-4.8973737737922995
2021-06-01,39.223158987864,-14.4875195953749,-16.7356391056794,-16.7356391056794,False,5.751880776505196,-8.735638818869704
2021-07-01,34.3217018912098,-3.74779764237038,-22.5739039620298,-22.5739039620298,False,0.0,-3.74779764237038
2021-08-01,29.4202447945557,-67.9870582627655,46.5668137550194,46.5668137550194,False,122.5538723045945,54.566814041829005
2021-09-01,24.5187876979015,-16.2263294044528,-0.292458006639018,-0.292458006639018,False,23.933871684623465,7.707542280170664
2021-10-01,22.5087761060992,-9.74182601746384,-4.76694980182566,-4.76694980182566,False,12.97487650244788,3.233050484984041
2021-11-01,20.4987645142968,-1.99003832751724,-10.50872589997,-10.50872589997,False,0.0,-1.99003832751724
2021-12-01,18.4887529224945,7.52982322126092,-18.0185758569457,-18.0185758569457,False,0.0,7.52982322126092
2022-01-01,16.4787413306922,14.3213067368299,-22.8000477807124,-22.8000477807124,False,0.0,14.3213067368299
2022-02-01,18.3188102260656,10.3133085234375,-20.6321184626935,-20.6321184626935,False,0.0,10.3133085234375
2022-03-01,20.158879121439,10.9719764671176,-23.130855301747,-23.130855301747,False,0.0,10.9719764671176
2022-04-01,21.9989480168123,9.20033788547252,-23.1992856154753,-23.1992856154753,False,0.0,9.20033788547252
2022-05-01,23.8390169121857,9.76203269993865,-21.6010493253147,-21.6010493253147,False,0.0,9.76203269993865
2022-06-01,24.3890913654114,-6.76083255634048,3.37174147773879,3.37174147773879,False,31.132574320888978,24.371741764548496
2022-07-01,24.9391658186371,-246.95040722865,251.011241696822,251.011241696822,False,526.9616492122811,280.0112419836312
2022-08-01,25.4892402718628,34.096210017828,-0.585450002881138,-0.585450002881138,False,24.318340266100524,58.41455028392852
2022-09-01,26.0393147250884,33.1427828334051,-18.1820972716839,-18.1820972716839,False,0.0,33.1427828334051
2022-10-01,26.1986849157041,32.5055680700795,-21.7042526989739,-21.7042526989739,False,0.0,32.5055680700795
2022-11-01,26.3580551063197,15.5350190242956,-30.8930738438057,-30.8930738438057,False,0.0,15.5350190242956
2022-12-01,26.5174252969353,14.1456244931695,-32.6630495032952,-32.6630495032952,False,0.0,14.1456244931695
2023-01-01,26.6767954875509,21.0895637186542,-29.7663589193955,-29.7663589193955,False,0.0,21.0895637186542
2023-02-01,26.9040776146504,142.094460491883,30.0014621802766,30.0014621802766,False,86.9070019752036,229.0014624670866
2023-03-01,27.1313597417499,51.7660146056617,-12.897374060602,-12.897374060602,False,1.3366116205458987,53.102626226207605
2023-04-01,27.3586418688493,31.3769975236397,-16.7356391056794,-16.7356391056794,False,0.0,31.3769975236397
2023-05-01,27.5859239959488,7.98798025289065,-22.5739039620298,-22.5739039620298,False,0.0,7.98798025289065
2023-06-01,27.8153990559137,-66.3822125241235,46.5668137550194,46.5668137550194,False,120.94902656595251,54.566814041829005
2023-07-01,28.0448741158785,-19.7524158224298,-0.292458006639018,-0.292458006639018,False,27.459958102600464,7.707542280170664
2023-08-01,28.2743491758434,-16.5073990872081,-4.76694980182566,-4.76694980182566,False,18.74044957219208,2.2330504849839805
2023-09-30,28.2743491758434,,-22.8000477807124,,True,0.0,
2023-10-31,28.2743491758434,,-20.6321184626935,,True,0.0,
2023-11-30,28.2743491758434,,-23.130855301747,,True,0.0,
2023-12-31,28.2743491758434,,-23.1992856154753,,True,0.0,
