date,trend,remainder,seasonal18,seasonal19,is_projected,projection,observation
2018-05-01,42.5470176743106,-52.7725620048847,-35.2363260094983,69.4618703400723,False,76.7725620048846,23.999999999999908
2018-06-01,42.7762201023264,23.11725326718,-57.3203633348538,26.4268899653474,False,11.882746732819996,35.0
2018-07-01,43.0054225303423,38.9627172245617,-51.1784672100016,0.210327455097673,False,0.0,38.9627172245617
2018-08-01,43.2346249583581,2.39975002868106,6.37923580878586,-21.013610795825,False,28.60024997131896,31.000000000000018
2018-09-01,43.6057646040978,11.36409598774,-9.83274985710274,-14.137110734735,False,19.63590401226006,31.00000000000006
2018-10-01,43.9769042498375,21.5870699545737,-1.26373913230458,-6.30023507210661,False,36.412930045426315,58.000000000000014
2018-11-01,44.3480438955772,16.3856706127617,-10.5221970476019,9.78848253926292,False,43.61432938723822,59.99999999999992
2018-12-01,44.8824529658618,1.44805265755564,-27.3932327404388,12.0627271170214,False,29.5519473424444,31.00000000000004
2019-01-01,45.4168620361464,52.4352999574087,-18.7575948536979,-51.0945671398572,False,0.0,52.4352999574087
2019-02-01,45.951271106431,-167.588622723842,-64.7969387153122,210.434290332723,False,191.5886227238418,23.9999999999998
2019-03-01,46.4825478578317,-160.889374017359,195.969520462808,-61.562694303281,False,180.88937401735868,19.999999999999687
2019-04-01,47.0138246092324,43.9594041448023,-74.8836165907488,-1.0896121632859,False,0.0,43.9594041448023
2019-05-01,47.545101360633,-1.40536137969374,-6.31422704448252,-28.8255129364568,False,12.40536137969368,10.99999999999994
2019-06-01,48.5428530500926,8.86689070213086,-14.795173651817,-34.6145701004065,False,0.0,8.86689070213086
2019-07-01,49.5406047395522,11.8716680747244,8.22580322077865,-58.6380760350553,False,0.0,11.8716680747244
2019-08-01,50.5383564290118,10.9612960232594,38.4380437867623,-78.9376962390334,False,10.038703976740699,21.0000000000001
2019-09-01,55.5297230585178,-9.51520681888231,43.9854855530081,-60.0000017926435,False,39.5152068188824,30.000000000000085
2019-10-01,60.5210896880237,58.4900700342716,79.2965421689704,43.6922981087343,False,183.5099299657284,242.0
2019-11-01,65.5124563175297,26.587074897393,-35.2363260094983,44.1367947945756,False,74.412925102607,101.0
2019-12-01,72.1300718105374,6.72842118424414,-57.3203633348538,69.4618703400723,False,84.2715788157559,91.00000000000004
2020-01-01,78.7476873035451,12.0038899411091,-51.1784672100016,26.4268899653474,False,53.996110058890906,66.0
2020-02-01,85.3653027965528,-41.9548660604363,6.37923580878586,0.210327455097673,False,91.95486606043633,50.00000000000003
2020-03-01,87.4689815583244,-21.6226209053967,-9.83274985710274,-21.013610795825,False,56.62262090539666,34.99999999999996
2020-04-01,89.572660320096,-40.1718104530563,-1.26373913230458,-14.137110734735,False,74.17181045305642,34.00000000000012
2020-05-01,91.6763390818676,-40.8539069621591,-10.5221970476019,-6.30023507210661,False,74.85390696215909,33.999999999999986
2020-06-01,89.3825763940367,-37.7778261928608,-27.3932327404388,9.78848253926292,False,71.77782619286083,34.00000000000003
2020-07-01,87.0888137062058,-45.3939459695293,-18.7575948536979,12.0627271170214,False,80.3939459695293,35.0
2020-08-01,84.7950510183749,104.096454836795,-64.7969387153122,-51.0945671398572,False,0.0,104.096454836795
2020-09-01,80.8785498672911,317.717639337177,195.969520462808,210.434290332723,False,487.2823606628221,804.9999999999991
2020-10-01,76.9620487162072,106.484262177823,-74.8836165907488,-61.562694303281,False,0.0,106.484262177823
2020-11-01,73.0455475651234,-52.641708357355,-6.31422704448252,-1.0896121632859,False,65.64170835735499,12.999999999999986
2020-12-01,68.8171879636183,-17.1965013753445,-14.795173651817,-28.8255129364568,False,25.196501375344496,7.9999999999999964
