date,trend,remainder,seasonal25,seasonal25.1,is_projected
2007-07-01,37.5477113283298,12.8933496316017,-36.4410604761997,-36.4410604761997,False
2007-08-01,37.4601508943181,-17.4588852902179,-10.0012651203683,-10.0012651203683,False
2007-09-01,37.3725904603064,-60.8111177965232,38.4385278199489,38.4385278199489,False
2007-10-01,37.2850300262947,-40.4811509460313,71.1961214034688,71.1961214034688,False
2007-11-01,37.197469592283,28.713861109624,77.088669781825,77.088669781825,False
2007-12-01,37.0853622672237,1.92445249514667,77.990185721362,77.990185721362,False
2008-01-01,36.9732549421645,17.1350470711498,62.8916984704179,62.8916984704179,False
2008-02-01,36.8611476171052,45.667393826345,30.471459040282,30.471459040282,False
2008-03-01,36.7490402920459,35.6616611491276,-18.4107009574416,-18.4107009574416,False
2008-04-01,36.6655942684134,20.6355118918966,-43.3011056765782,-43.3011056765782,False
2008-05-01,36.5821482447809,4.44162681561945,-41.0237745766687,-41.0237745766687,False
2008-06-01,36.4987022211485,6.77528203436707,-42.2739837717837,-42.2739837717837,False
2008-07-01,36.415256197516,7.70444869593791,-43.1197044097221,-43.1197044097221,False
2008-08-01,36.3368810166004,9.1276187875683,-45.4644993204369,-45.4644993204369,False
2008-09-01,36.2585058356849,12.0507888791987,-44.3092942311516,-44.3092942311516,False
2008-10-01,36.1801306547693,3.47395897080055,-34.654089141838,-34.654089141838,False
2008-11-01,36.1017554738537,-20.8359674356519,29.7342124455302,29.7342124455302,False
2008-12-01,35.4405480075186,-9.85883377475434,45.418286250968,45.418286250968,False
2009-01-01,34.7793405411834,-6.38170011350553,30.6023600560543,30.6023600560543,False
2009-02-01,34.1181330748482,-16.4045664508239,36.2864338597077,36.2864338597077,False
2009-03-01,33.456925608513,17.5092005481129,12.033874327106,12.033874327106,False
2009-04-01,33.019829046644,9.82704640584096,-17.8468749687531,-17.8468749687531,False
2009-05-01,32.582732484775,13.6448922643356,-42.2276242653788,-42.2276242653788,False
2009-06-01,32.1456359229059,15.9627381228303,-47.1083735620044,-47.1083735620044,False
2009-07-01,31.7085393610369,14.2609519143405,-45.9694907916454,-45.9694907916454,False
2009-08-01,32.3024348621995,4.138626097732,-36.4410604761997,-36.4410604761997,False
2009-09-01,32.8963303633621,-20.8950647592618,-10.0012651203683,-10.0012651203683,False
2009-10-01,33.4902258645246,-67.9287532007415,38.4385278199489,38.4385278199489,False
2009-11-01,34.0841213656872,-88.2802422854237,71.1961214034688,71.1961214034688,False
2009-12-01,35.2656017499007,-37.3542710479934,77.088669781825,77.088669781825,False
2010-01-01,36.4470821341142,11.5627326282562,77.990185721362,77.990185721362,False
2010-02-01,37.6285625183277,31.4797394949866,62.8916984704179,62.8916984704179,False
2010-03-01,38.8100429025412,22.7184985409089,30.471459040282,30.471459040282,False
2010-04-01,40.4190269521782,8.99167448899529,-18.4107009574416,-18.4107009574416,False
2010-05-01,42.0280110018152,4.27309515849476,-43.3011056765782,-43.3011056765782,False
2010-06-01,43.6369950514522,-0.6132199910518,-41.0237745766687,-41.0237745766687,False
2010-07-01,45.2459791010892,-2.97199484557364,-42.2739837717837,-42.2739837717837,False
2010-08-01,48.0569051042415,-3.93720021078758,-43.1197044097221,-43.1197044097221,False
2010-09-01,50.8678311073938,-5.40333130322507,-45.4644993204369,-45.4644993204369,False
2010-10-01,53.6787571105461,-8.36946239566257,-44.3092942311516,-44.3092942311516,False
2010-11-01,56.4896831136984,0.16440651187142,-34.654089141838,-34.654089141838,False
2010-12-01,57.8413254490504,24.4244625891514,29.7342124455302,29.7342124455302,False
2011-01-01,59.1929677844025,13.3887464483618,45.418286250968,45.418286250968,False
2011-02-01,60.5446101197545,9.85303030792341,30.6023600560543,30.6023600560543,False
2011-03-01,61.8962524551065,19.8173141689178,36.2864338597077,36.2864338597077,False
2011-04-01,62.1210602698685,-14.1549341132425,12.033874327106,12.033874327106,False
2011-05-01,62.3458680846305,-6.49899263214553,-17.8468749687531,-17.8468749687531,False
2011-06-01,62.5706758993925,-10.3430511502819,-42.2276242653788,-42.2276242653788,False
2011-07-01,62.7954837141546,-12.6871096684183,-47.1083735620044,-47.1083735620044,False
2011-08-01,62.9714654142956,-11.0019741389183,-45.9694907916454,-45.9694907916454,False
2011-09-01,63.1474471144367,-11.7063861545052,-36.4410604761997,-36.4410604761997,False
2011-10-01,63.3234288145778,43.6778367895225,-10.0012651203683,-10.0012651203683,False
2011-11-01,63.4994105147189,134.062062149064,38.4385278199489,38.4385278199489,False
2011-12-01,63.7155040425856,134.088375037678,71.1961214034688,71.1961214034688,False
2012-01-01,63.9315975704524,13.9797331314546,77.088669781825,77.088669781825,False
2012-02-01,64.1476910983192,-8.13787633594888,77.990185721362,77.990185721362,False
2012-03-01,64.3637846261859,-43.2554826128716,62.8916984704179,62.8916984704179,False
2012-04-01,64.5424488767069,-63.0139074332567,30.471459040282,30.471459040282,False
2012-05-01,64.7211131272278,-39.3104116860543,-18.4107009574416,-18.4107009574416,False
2012-06-01,64.8997773777488,-19.5986712174388,-43.3011056765782,-43.3011056765782,False
