date,trend,remainder,seasonal17,seasonal37,is_projected,projection,observation
2014-01-01,36.0597639936734,98.3083572284805,-41.3100326779817,-26.0580885441722,False,0.0,98.3083572284805
2014-02-01,36.0403065573154,99.0109127350682,-59.9023959309408,-14.1488233614426,False,0.0,99.0109127350682
2014-03-01,36.0208491209574,80.0349997773764,41.4582695125156,-86.5141184108494,False,0.0,80.0349997773764
2014-04-01,36.0013916845995,39.9191495819832,28.267633069329,-68.1881743359117,False,0.0,39.9191495819832
2014-05-01,35.9819342482415,34.5794924532766,3.82892959935129,-63.3903563008694,False,0.0,34.5794924532766
2014-06-01,35.9624768118835,44.3221009551224,26.5582298562923,-104.842807623298,False,0.0,44.3221009551224
2014-07-01,35.9430193755256,37.1875279623697,-17.5346530360467,-51.5958943018486,False,0.0,37.1875279623697
2014-08-01,35.9428905792075,20.3995298843826,-27.9786980767241,-21.363722386866,False,0.0,20.3995298843826
2014-09-01,35.9427617828894,-68.9239253378098,55.2799071189006,-9.29874356398012,False,81.92392533780989,13.000000000000085
2014-10-01,35.9426329865712,-85.415305991892,18.8382794486824,53.6343935566383,False,108.4153059918919,22.9999999999999
2014-11-01,35.9425041902531,-65.859720655796,13.580257919123,80.3369585464198,False,129.8597206557959,63.999999999999915
2014-12-01,35.942375393935,-26.1251888374393,24.023045831205,74.1597676122993,False,134.1251888374393,108.00000000000001
2015-01-01,35.9422465976169,-10.651301494974,-32.9478711450155,93.6569260423726,False,96.651301494974,86.0
2015-02-01,35.826382482012,-46.4766208744752,-37.7282848887583,92.3785232812215,False,90.4766208744752,44.0
2015-03-01,35.7105183664071,-29.8898462864402,-6.41057407819024,31.5899019982234,False,60.88984628644026,31.00000000000006
2015-04-01,35.5946542508022,-15.6323877246889,-3.58340549345017,0.621138967336887,False,32.63238772468892,17.000000000000018
2015-05-01,35.4787901351973,-6.54632047785361,15.5613684945747,-37.4938381519184,False,13.546320477853598,6.9999999999999885
2015-06-01,35.3629260195924,49.5229113170202,-41.3100326779817,-34.5758046586309,False,0.0,49.5229113170202
2015-07-01,35.2470619039875,53.8403572499961,-59.9023959309408,-25.1850232230428,False,0.0,53.8403572499961
2015-08-01,34.912062842365,5.60270473790819,41.4582695125156,-77.9730370927888,False,0.0,5.60270473790819
2015-09-01,34.5770637807426,-32.1082173703764,28.267633069329,-28.7364794796951,False,34.1082173703765,2.0000000000000995
2015-10-01,34.2420647191201,-82.0429492660914,3.82892959935129,57.97195494762,False,96.0429492660914,14.0
2015-11-01,33.9070656574976,-112.955197592703,26.5582298562923,90.4899020789134,False,150.9551975927033,38.00000000000031
2015-12-01,33.5720665958751,-29.9961765977462,-17.5346530360467,112.958763037918,False,128.9961765977464,99.0000000000002
2016-01-01,33.2370675342526,-69.9783207256768,-27.9786980767241,65.7199512681482,False,70.9783207256767,0.9999999999999005
2016-02-01,34.4270826261503,-58.4976350072343,55.2799071189006,-27.2093547378166,False,62.49763500723431,4.000000000000007
2016-03-01,35.6170977180481,7.81512408857509,18.8382794486824,-60.2705012553056,False,0.0,7.81512408857509
2016-04-01,36.8071128099458,20.8415134206498,13.580257919123,-70.2288841497186,False,0.0,20.8415134206498
2016-05-01,37.9971279018435,25.1621747013363,24.023045831205,-83.1823484343848,False,0.0,25.1621747013363
2016-06-01,39.1871429937412,46.9860846358348,-32.9478711450155,-52.2253564845605,False,0.0,46.9860846358348
2016-07-01,40.3771580856389,58.3454980642041,-37.7282848887583,-60.9943712610847,False,0.0,58.3454980642041
2016-08-01,43.8969497606035,5.04912489691326,-6.41057407819024,-42.5355005793265,False,0.0,5.04912489691326
2016-09-01,47.4167414355681,-18.8624581988869,-3.58340549345017,-18.970877743231,False,24.86245819888693,6.000000000000032
2016-10-01,50.9365331105327,-43.9563296473212,15.5613684945747,-2.54157195778622,False,63.95632964732118,19.999999999999986
2016-11-01,54.4563247854972,-123.817764458786,-41.3100326779817,182.671472351271,False,195.8177644587865,72.00000000000051
2016-12-01,57.9761164604618,-109.942751743446,-59.9023959309408,210.869031213925,False,208.94275174344602,99.00000000000003
2017-01-01,61.4959081354264,32.5808226291868,41.4582695125156,-79.5350002771287,False,23.419177370813294,56.00000000000009
2017-02-01,66.1237704168399,-35.3333149419967,28.267633069329,-26.0580885441722,False,68.3333149419967,33.00000000000001
2017-03-01,70.7516326982533,-37.431738936162,3.82892959935129,-14.1488233614426,False,60.43173893616199,22.999999999999993
2017-04-01,75.3794949796668,-10.4236064251097,26.5582298562923,-86.5141184108494,False,15.423606425109696,4.9999999999999964
2017-05-01,80.0073572610803,8.71547011087807,-17.5346530360467,-68.1881743359117,False,0.0,8.71547011087807
2017-06-01,84.6352195424938,10.7338348350997,-27.9786980767241,-63.3903563008694,False,0.0,10.7338348350997
2017-07-01,89.2630818239072,-35.7001813195095,55.2799071189006,-104.842807623298,False,39.7001813195098,4.0000000000003055
2017-08-01,93.7787016507322,-50.0210867975661,18.8382794486824,-51.5958943018486,False,61.021086797566,10.9999999999999
2017-09-01,98.2943214775572,-37.5108570098143,13.580257919123,-21.363722386866,False,90.5108570098142,52.9999999999999
2017-10-01,102.809941304382,48.4657564283928,24.023045831205,-9.29874356398012,False,117.53424357160688,165.9999999999997
2017-11-01,107.325561131207,58.9879164571699,-32.9478711450155,53.6343935566383,False,128.0120835428298,186.99999999999972
2017-12-01,111.841180958032,45.5501453843061,-37.7282848887583,80.3369585464198,False,154.44985461569348,199.99999999999957
2018-01-01,116.356800784857,51.8940056810338,-6.41057407819024,74.1597676122993,False,184.10599431896605,235.99999999999986
