date,observation,trend,seasonal,remainder,is_projected
2010-01-01,258,250.579789983825,116.432881277094,-109.012671260919,False
2010-01-08,638,248.396007389048,173.513973818514,216.090018792438,False
2010-01-15,639,246.212224794271,176.737924994729,216.049850210999,False
2010-01-22,670,244.028442199494,214.8190187372,211.152539063306,False
2010-01-29,572,241.844659604718,169.042969931182,161.112370464101,False
2010-02-05,570,239.660877009941,138.333897690078,192.005225299981,False
2010-02-12,339,237.477094415164,72.9105400210652,28.6123655637707,False
2010-02-19,298,235.293311820387,48.4871822905671,14.2195058890456,False
2010-02-26,342,233.109529225611,54.0638246164636,54.8266461579259,False
2010-03-05,195,231.390003520777,19.5691185411611,-55.959122061938,False
2010-03-12,144,229.670477815943,3.07441217704509,-88.7448899929883,False
2010-03-19,190,227.95095211111,-4.42029489949484,-33.5306572116147,False
2010-03-26,129,226.231426406276,0.513570095299731,-97.7449965015756,False
2010-04-02,144,224.511900701442,6.24124615709773,-86.7531468585399,False
2010-04-09,193,222.792374996609,-6.60250695238522,-23.1898680442233,False
2010-04-16,194,221.072849291775,-32.3034025739272,5.23055328215236,False
2010-04-23,153,219.353323586941,5.85284448000944,-72.2061680669507,False
2010-04-30,119,217.907731459401,-39.2133297132729,-59.694401746128,False
2010-05-07,311,216.462139331861,-14.5652192343783,109.103079902518,False
2010-05-14,102,215.01654720432,-24.2028216711673,-88.8137255331531,False
2010-05-22,85,213.57095507678,-23.9832816683908,-104.587673408389,False
2010-05-29,87,212.12536294924,-47.9418224768547,-77.1835404723852,False
2010-06-05,113,210.6797708217,-47.6146486078369,-50.0651222138627,False
2010-06-12,62,209.234178694159,-38.1446180881338,-109.089560606026,False
2010-06-19,42,207.788586566619,-37.1031586436207,-128.685427922998,False
2010-06-26,85,206.444607193878,-45.3261411089886,-76.1184660848891,False
2010-07-03,69,205.100627821136,-68.120551560123,-67.9800762610133,False
2010-07-10,84,203.756648448395,-68.9149621865009,-50.841686261894,False
2010-07-17,93,202.412669075653,-62.8522299225279,-46.5604391531256,False
2010-07-24,90,201.068689702912,-67.3576852121301,-43.7110044907819,False
2010-07-31,84,199.724710330171,-78.7202830079156,-37.004427322255,False
2010-08-07,51,198.380730957429,-93.5114522525104,-53.8692787049189,False
2010-08-14,34,197.036751584688,-105.302621647553,-57.734129937135,False
2010-08-21,38,196.469154921784,-100.270719703873,-58.1984352179109,False
2010-08-28,38,195.90155825888,-102.81024640381,-55.0913118550695,False
2010-09-04,85,195.333961595976,-92.0640589369596,-18.2699026590164,False
2010-09-11,51,194.766364933072,-106.317870943114,-37.4484939899578,False
2010-09-18,51,194.198768270168,-111.598481904987,-31.6002863651812,False
2010-09-25,37,193.631171607264,-103.307663991307,-53.3235076159576,False
2010-10-02,38,193.06357494436,-101.445417569921,-53.618157374439,False
2010-10-10,52,192.495978281456,-83.5831711299483,-56.912807151508,False
2010-10-17,49,193.795562402593,-78.9724550600827,-65.8231073425101,False
2010-10-24,59,195.095146523729,-60.7903104851515,-75.3048360385779,False
2010-10-31,99,196.394730644866,-29.465308664435,-67.9294219804309,False
2010-11-07,93,197.694314766002,-16.4260209428297,-88.2682938231727,False
2010-11-14,214,198.993898887139,10.4162584272175,4.58984268564365,False
2010-11-21,261,200.293483008275,36.1644879872472,24.5420290044775,False
2010-11-28,466,201.593067129412,119.646013967748,144.76091890284,False
2010-12-05,522,202.892651250548,125.960873193623,193.146475555829,False
2010-12-12,511,204.159651936624,132.031279111821,174.809068951554,False
2010-12-19,484,205.4266526227,130.101684704367,148.471662672933,False
2010-12-26,448,206.693653308776,139.338757140814,101.96758955041,False
2011-01-02,409,207.960653994852,116.432881277094,84.6064647280543,False
2011-01-09,464,209.227654680928,173.513973818514,81.2583715005584,False
2011-01-16,469,210.494655367004,176.737924994729,81.767419638267,False
2011-01-23,478,211.761656053079,214.8190187372,51.4193252097207,False
2011-01-30,429,213.028656739155,169.042969931182,46.9283733296629,False
2011-02-06,328,213.421703171681,138.333897690078,-23.7556008617598,False
2011-02-13,237,213.814749604207,72.9105400210652,-49.7252896252727,False
2011-02-20,227,214.207796036734,48.4871822905671,-35.6949783273006,False
2011-02-28,274,214.60084246926,54.0638246164636,5.33533291427679,False
2011-03-07,200,214.993888901786,19.5691185411611,-34.5630074429468,False
2011-03-14,195,215.386935334312,3.07441217704509,-23.4613475113569,False
2011-03-21,185,215.779981766838,-4.42029489949484,-26.359686867343,False
2011-03-28,180,216.173028199364,0.513570095299731,-36.6865982946637,False
2011-04-04,207,215.074693697516,6.24124615709773,-14.3159398546136,False
2011-04-11,186,213.976359195668,-6.60250695238522,-21.3738522432826,False
2011-04-18,185,212.87802469382,-32.3034025739272,4.4253778801075,False
2011-04-25,287,211.779690191972,5.85284448000944,69.3674653280189,False
2011-05-02,285,210.681355690124,-39.2133297132729,113.531974023149,False
2011-05-09,205,209.583021188275,-14.5652192343783,9.98219804610284,False
2011-05-16,180,208.484686686427,-24.2028216711673,-4.28186501526014,False
2011-05-23,182,207.386352184579,-23.9832816683908,-1.40307051618851,False
2011-05-30,77,204.426258940267,-47.9418224768547,-79.4844364634118,False
2011-06-06,109,201.466165695954,-47.6146486078369,-44.8515170881168,False
2011-06-13,201,198.506072451641,-38.1446180881338,40.6385456364929,False
2011-06-20,197,195.545979207328,-37.1031586436207,38.5571794362926,False
2011-06-27,200,192.585885963015,-45.3261411089886,52.7402551459733,False
2011-07-04,136,189.625792718702,-68.120551560123,14.4947588414205,False
2011-07-11,178,186.66569947439,-68.9149621865009,60.2492627121112,False
2011-07-19,124,183.705606230077,-62.8522299225279,3.14662369245102,False
2011-07-26,120,180.615081854292,-67.3576852121301,6.74260335783845,False
2011-08-02,118,177.524557478506,-78.7202830079156,19.1957255294091,False
2011-08-09,95,174.434033102721,-93.5114522525104,14.0774191497891,False
2011-08-16,48,171.343508726936,-105.302621647553,-18.0408870793833,False
2011-08-23,91,168.252984351151,-100.270719703873,23.0177353527221,False
2011-08-30,67,165.162459975366,-102.81024640381,4.64778642844473,False
2011-09-06,61,162.071935599581,-92.0640589369596,-9.0078766626209,False
2011-09-13,62,158.981411223795,-106.317870943114,9.33645971931898,False
2011-09-20,72,157.061833847362,-111.598481904987,26.5366480576246,False
2011-09-27,59,155.142256470929,-103.307663991307,7.1654075203773,False
2011-10-04,54,153.222679094496,-101.445417569921,2.22273847542493,False
2011-10-11,66,151.303101718063,-83.5831711299483,-1.71993058811501,False
2011-10-18,89,149.38352434163,-78.9724550600827,18.5889307184524,False
2011-10-25,105,147.463946965197,-60.7903104851515,18.3263635199542,False
2011-11-01,155,145.544369588764,-29.465308664435,38.9209390756707,False
2011-11-08,174,143.624792212331,-16.4260209428297,46.8012287304984,False
2011-11-15,216,142.89985479083,10.4162584272175,62.6838867819529,False
2011-11-22,250,142.174917369328,36.1644879872472,71.660594643425,False
2011-11-29,251,141.449979947826,119.646013967748,-10.0959939155738,False
2011-12-07,230,140.725042526324,125.960873193623,-36.6859157199471,False
2011-12-14,197,140.000105104823,132.031279111821,-75.0313842166441,False
2011-12-21,208,139.275167683321,130.101684704367,-61.3768523876877,False
2011-12-28,191,138.550230261819,139.338757140814,-86.8889874026335,False
2012-01-04,209,137.825292840317,116.432881277094,-45.2581741174113,False
2012-01-11,170,137.975304047228,173.513973818514,-141.489277865742,False
2012-01-18,153,138.125315254138,176.737924994729,-161.863240248868,False
