date,observation,trend,seasonal11,seasonal27,remainder,is_projected
2010-01-01,21,18.1522924114569,-16.5709553603829,5.47115681471591,13.94750613421,False
2010-02-01,15,17.9715694022057,-27.5499275588459,7.9122893219743,16.6660688346659,False
2010-03-01,18,17.7908463929545,-18.8501418019641,11.3425725566003,7.71672285240929,False
2010-04-01,32,17.6101233837033,9.24267726612956,-0.935109176999661,6.0823085271668,False
2010-05-01,34,17.4294003744521,25.2511695299384,-21.1064466791988,12.4258767748084,False
2010-06-01,27,17.2486773652009,14.8313308147793,-24.6381657829087,19.5581576029285,False
2010-07-01,51,17.0323545891125,6.58205076102406,15.6307109838874,11.7548836659761,False
2010-08-01,45,16.8160318130241,-8.61103116915763,25.293915830332,11.5010835258016,False
2010-09-01,33,16.5997090369357,-4.75201023483545,11.5916902668523,9.5606109310475,False
2010-10-01,6,16.3833862608473,9.69367538985803,-23.6205899367743,3.54352828606893,False
2010-11-01,3,16.1670634847589,10.733163855324,-33.5876081578069,9.68738081772398,False
2010-12-01,2,15.7846630315851,-16.5709553603829,-12.0865609777589,14.8728533065566,False
2011-01-01,1,15.4022625784113,-27.5499275588459,-3.33336663703462,16.4810316174692,False
2011-02-01,8,15.0198621252374,-18.8501418019641,10.552349662499,1.27793001422761,False
2011-03-01,4,14.6374616720636,9.24267726612956,-14.8775955667986,-5.00254337139455,False
2011-04-01,2,14.2550612188898,25.2511695299384,-34.0587097391395,-3.44752100968871,False
2011-05-01,2,13.3215463048871,14.8313308147793,-27.5478105423564,1.39493342269001,False
2011-06-01,1,12.3880313908844,6.58205076102406,-8.45038683568883,-9.51969531621962,False
2011-07-01,1,11.4545164768817,-8.61103116915763,4.95636430057003,-6.79984960829409,False
2011-08-01,2,10.521001562879,-4.75201023483545,1.07914256541527,-4.84813389345882,False
2011-09-01,3,9.58748664887631,9.69367538985803,-9.78792817053105,-6.4932338682033,False
2011-10-01,2,9.06132166576702,10.733163855324,0.884296955218473,-18.6787824763095,False
2011-11-01,1,8.53515668265774,-16.5709553603829,21.9424914095983,-12.9066927318732,False
2011-12-01,3,8.00899169954845,-27.5499275588459,43.7528330246543,-21.2118971653569,False
2012-01-01,26,7.48282671643916,-18.8501418019641,35.1983084753081,2.16900661021685,False
2012-02-01,34,6.95666173332987,9.24267726612956,8.42121583857344,9.37944516196712,False
2012-03-01,46,7.2303895652689,25.2511695299384,10.0009460209912,3.51749488380148,False
2012-04-01,12,7.50411739720793,14.8313308147793,5.47115681471591,-15.8066050267032,False
2012-05-01,18,7.77784522914696,6.58205076102406,7.9122893219743,-4.27218531214532,False
2012-06-01,10,8.05157306108599,-8.61103116915763,11.3425725566003,-0.783114448528632,False
2012-07-01,3,8.32530089302501,-4.75201023483545,-0.935109176999661,0.361818518810095,False
2012-08-01,0,9.40492065834712,9.69367538985803,-21.1064466791988,2.0078506309937,False
2012-09-01,1,10.4845404236692,10.733163855324,-24.6381657829087,4.42046150391543,False
2012-10-01,3,11.5641601889913,-16.5709553603829,15.6307109838874,-7.62391581249582,False
2012-11-01,3,12.6437799543134,-27.5499275588459,25.293915830332,-7.38776822579957,False
2012-12-01,1,13.7233997196355,-18.8501418019641,11.5916902668523,-5.46494818452376,False
2013-01-01,1,14.8192356156891,9.24267726612956,-23.6205899367743,0.5586770549556,False
2013-02-01,2,15.9150715117427,25.2511695299384,-33.5876081578069,-5.57863288387414,False
2013-03-01,9,17.0109074077962,14.8313308147793,-12.0865609777589,-10.7556772448167,False
2013-04-01,9,18.1067433038498,6.58205076102406,-3.33336663703462,-12.3554274278392,False
2013-05-01,24,19.2025791999034,-8.61103116915763,10.552349662499,2.85610230675528,False
2013-06-01,9,19.4811694508715,-4.75201023483545,-14.8775955667986,9.14843635076259,False
2013-07-01,3,19.7597597018395,9.69367538985803,-34.0587097391395,7.60527464744191,False
2013-08-01,6,20.0383499528076,10.733163855324,-27.5478105423564,2.77629673422478,False
2013-09-01,9,20.3169402037757,-16.5709553603829,-8.45038683568883,13.704401992296,False
2013-10-01,9,20.5955304547438,-27.5499275588459,4.95636430057003,10.9980328035321,False
2013-11-01,12,20.7178097659138,-18.8501418019641,1.07914256541527,9.053189470635,False
2013-12-01,31,20.8400890770838,9.24267726612956,-9.78792817053105,10.7051618273177,False
2014-01-01,70,20.9623683882538,25.2511695299384,0.884296955218473,22.9021651265893,False
2014-02-01,75,21.0846476994239,14.8313308147793,21.9424914095983,17.1415300761985,False
2014-03-01,97,21.2069270105939,6.58205076102406,43.7528330246543,25.4581892037278,False
2014-04-01,50,21.3205051192992,-8.61103116915763,35.1983084753081,2.09221757455035,False
2014-05-01,20,21.4340832280046,-4.75201023483545,8.42121583857344,-5.10328883174255,False
2014-06-01,42,21.5476613367099,9.69367538985803,10.0009460209912,0.757717252440827,False
2014-07-01,46,21.6612394454153,10.733163855324,5.47115681471591,8.13443988454475,False
2014-08-01,7,21.7748175541206,-16.5709553603829,7.9122893219743,-6.11615151571205,False
2014-09-01,5,21.8598962053759,-27.5499275588459,11.3425725566003,-0.652541203130323,False
2014-10-01,2,21.9449748566311,-18.8501418019641,-0.935109176999661,-0.159723877667368,False
2014-11-01,2,22.0300535078863,9.24267726612956,-21.1064466791988,-8.16628409481705,False
2014-12-01,5,22.1151321591416,25.2511695299384,-24.6381657829087,-17.7281359061713,False
